@relation R_data_frame

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration {1,2,3}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount {1,2}
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age {1,2,3}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
0<=X<200,1,'existing paid','new car',1,<100,<1,3,'female div/dep/mar',none,1,car,1,none,rent,1,skilled,1,none,yes,-1
<0,3,'existing paid',business,1,<100,<1,3,'female div/dep/mar',none,4,'life insurance',1,none,rent,1,skilled,1,none,yes,-1
0<=X<200,1,'existing paid',radio/tv,1,<100,1<=X<4,1,'female div/dep/mar',none,1,car,1,none,own,1,skilled,1,yes,yes,1
<0,2,'critical/other existing credit','new car',1,<100,>=7,4,'male single',none,4,car,2,none,own,2,'unskilled resident',1,none,yes,-1
<0,1,'existing paid','new car',1,<100,1<=X<4,2,'female div/dep/mar',none,4,car,1,none,rent,1,skilled,1,none,yes,1
<0,2,'existing paid',radio/tv,1,100<=X<500,1<=X<4,4,'female div/dep/mar',none,2,car,1,none,own,1,'unskilled resident',1,none,yes,-1
<0,2,'no credits/all paid',business,2,'no known savings',<1,2,'male single',none,3,car,1,bank,own,3,skilled,1,none,yes,1
0<=X<200,2,'existing paid','used car',2,<100,>=7,4,'female div/dep/mar',none,2,'no known property',2,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,-1
'no checking',2,'existing paid',radio/tv,1,500<=X<1000,>=7,3,'male single',none,2,car,1,none,own,1,skilled,2,yes,yes,1
'no checking',1,'critical/other existing credit','new car',1,<100,1<=X<4,4,'male single',none,4,car,2,none,own,3,skilled,1,yes,yes,1
<0,1,'existing paid',radio/tv,1,500<=X<1000,1<=X<4,2,'male single',none,3,'real estate',2,none,rent,1,skilled,2,none,yes,1
<0,1,'critical/other existing credit','new car',1,<100,<1,1,'male single',none,3,'real estate',2,none,rent,2,'unskilled resident',2,none,no,1
0<=X<200,1,'critical/other existing credit','used car',1,100<=X<500,<1,3,'male single',none,4,'life insurance',2,none,own,1,skilled,1,none,yes,1
'no checking',1,'critical/other existing credit',furniture/equipment,1,'no known savings',1<=X<4,2,'male mar/wid',none,1,car,1,none,own,2,skilled,1,none,no,1
<0,1,'existing paid',furniture/equipment,1,<100,1<=X<4,1,'male single',none,2,'real estate',2,bank,own,1,'unskilled resident',1,yes,yes,1
'no checking',1,'no credits/all paid',radio/tv,1,<100,>=7,4,'male mar/wid',none,4,car,2,none,own,1,'unskilled resident',1,none,yes,1
0<=X<200,1,'existing paid',radio/tv,1,<100,1<=X<4,3,'male single',guarantor,2,'real estate',1,none,own,1,skilled,1,none,yes,1
<0,3,'delayed previously',business,2,<100,>=7,3,'male single',none,4,'no known property',2,none,own,2,skilled,1,yes,yes,-1
0<=X<200,1,'existing paid',business,1,>=1000,<1,3,'male mar/wid',none,3,'real estate',2,bank,own,1,skilled,1,yes,yes,1
<0,2,'existing paid',furniture/equipment,1,<100,1<=X<4,2,'male single',none,2,car,1,stores,own,1,skilled,1,none,yes,1
0<=X<200,1,'existing paid','new car',2,100<=X<500,1<=X<4,2,'male single',none,2,car,1,none,own,2,skilled,1,yes,yes,1
'no checking',1,'critical/other existing credit',business,1,'no known savings',>=7,4,'male single',none,4,'no known property',2,none,rent,1,'unskilled resident',1,none,yes,1
>=200,1,'existing paid',furniture/equipment,1,<100,<1,4,'female div/dep/mar',none,1,'life insurance',1,bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,1
0<=X<200,3,'critical/other existing credit',radio/tv,2,<100,<1,4,'male single',none,2,'life insurance',1,none,own,2,'unskilled resident',1,none,yes,-1
'no checking',3,'critical/other existing credit',education,2,<100,1<=X<4,1,'male single',none,3,'no known property',1,bank,'for free',1,skilled,1,yes,yes,1
>=200,1,'existing paid',radio/tv,1,<100,1<=X<4,4,'male single','co applicant',2,'real estate',2,stores,own,1,skilled,1,none,yes,-1
0<=X<200,1,'existing paid',radio/tv,1,<100,1<=X<4,4,'male single',none,3,'real estate',1,none,own,1,skilled,1,none,yes,1
'no checking',2,'existing paid',radio/tv,1,500<=X<1000,>=7,4,'male single',none,2,car,1,bank,own,1,'high qualif/self emp/mgmt',1,none,yes,1
0<=X<200,1,'delayed previously',repairs,2,<100,1<=X<4,2,'male single',none,4,'real estate',2,none,own,1,'unskilled resident',2,yes,yes,1
<0,2,'critical/other existing credit','used car',2,100<=X<500,4<=X<7,1,'male mar/wid',none,4,car,1,none,rent,2,skilled,1,none,yes,1
<0,3,'critical/other existing credit','used car',2,<100,>=7,4,'female div/dep/mar',none,4,'no known property',2,stores,'for free',2,'unskilled resident',1,none,yes,-1
'no checking',1,'critical/other existing credit','new car',1,<100,<1,4,'female div/dep/mar',none,4,car,2,none,own,2,'high qualif/self emp/mgmt',1,none,yes,1
'no checking',2,'existing paid',radio/tv,1,500<=X<1000,>=7,4,'male single',none,4,car,2,none,own,1,skilled,1,none,yes,1
<0,1,'existing paid','used car',1,500<=X<1000,unemployed,1,'female div/dep/mar',none,2,'life insurance',1,none,rent,1,'unemp/unskilled non res',1,yes,yes,1
'no checking',1,'critical/other existing credit','new car',2,<100,1<=X<4,1,'male single',none,4,'life insurance',2,none,own,2,'unskilled resident',1,none,yes,1
'no checking',1,'existing paid',radio/tv,1,100<=X<500,1<=X<4,4,'female div/dep/mar','co applicant',2,'real estate',1,none,own,1,skilled,1,none,yes,1
0<=X<200,2,'delayed previously',furniture/equipment,1,'no known savings',<1,4,'male single',none,2,'life insurance',1,bank,own,1,'unskilled resident',1,none,yes,1
0<=X<200,2,'delayed previously','used car',2,<100,>=7,1,'male single',none,2,car,1,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,1
'no checking',1,'existing paid',radio/tv,1,<100,1<=X<4,3,'male single',none,2,car,1,none,own,1,skilled,1,none,yes,1
'no checking',1,'existing paid','used car',1,'no known savings',1<=X<4,2,'male single',none,1,'life insurance',1,none,own,1,skilled,1,yes,yes,1
0<=X<200,2,'delayed previously','new car',1,<100,>=7,4,'male single',none,4,'no known property',2,bank,'for free',2,skilled,1,yes,yes,-1
'no checking',1,'all paid','new car',1,'no known savings',1<=X<4,1,'male single',guarantor,2,'real estate',1,stores,own,1,'unskilled resident',2,none,yes,1
0<=X<200,1,'existing paid',radio/tv,2,'no known savings',unemployed,2,'male single',none,1,'no known property',2,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,-1
'no checking',2,'critical/other existing credit',radio/tv,2,<100,1<=X<4,2,'female div/dep/mar',none,2,car,1,stores,own,2,skilled,1,none,yes,1
>=200,1,'existing paid','new car',1,<100,>=7,3,'female div/dep/mar',none,2,car,1,none,own,1,'high qualif/self emp/mgmt',1,none,yes,1
<0,2,'critical/other existing credit',furniture/equipment,2,<100,<1,4,'female div/dep/mar','co applicant',4,'no known property',1,none,rent,2,'unskilled resident',1,yes,yes,-1
0<=X<200,1,'existing paid',business,1,<100,1<=X<4,2,'male mar/wid',none,1,'real estate',1,bank,own,1,skilled,1,yes,yes,1
0<=X<200,1,'critical/other existing credit',radio/tv,1,'no known savings',>=7,4,'male single',guarantor,4,'real estate',2,none,own,2,skilled,1,yes,yes,1
0<=X<200,2,'no credits/all paid',business,1,<100,>=7,4,'male single',none,4,'no known property',2,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,-1
0<=X<200,3,'no credits/all paid',business,2,<100,1<=X<4,2,'male single',none,2,car,1,none,own,1,skilled,1,yes,yes,-1
'no checking',2,'existing paid',radio/tv,1,<100,<1,4,'female div/dep/mar',none,4,'life insurance',1,none,own,1,skilled,1,yes,yes,1
'no checking',2,'existing paid',repairs,2,'no known savings',>=7,4,'male single',none,4,'life insurance',2,none,own,4,skilled,2,yes,yes,1
0<=X<200,1,'existing paid','new car',1,>=1000,1<=X<4,4,'male mar/wid',none,1,'real estate',1,none,own,1,skilled,1,none,yes,1
'no checking',2,'existing paid',education,1,<100,1<=X<4,4,'male single',none,4,'no known property',2,stores,'for free',1,skilled,1,yes,yes,-1
'no checking',2,'existing paid',radio/tv,1,'no known savings',1<=X<4,4,'female div/dep/mar',none,4,car,1,none,own,1,skilled,1,none,yes,1
'no checking',2,'existing paid','used car',2,<100,1<=X<4,1,'female div/dep/mar',none,2,'life insurance',1,bank,own,1,skilled,1,none,yes,1
'no checking',1,'critical/other existing credit',radio/tv,1,'no known savings',>=7,4,'male single',none,2,'life insurance',2,none,rent,2,'unskilled resident',1,yes,yes,1
<0,1,'critical/other existing credit',other,1,<100,>=7,3,'male single',none,4,'no known property',2,bank,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,1
0<=X<200,2,'critical/other existing credit',business,2,<100,4<=X<7,2,'female div/dep/mar',none,1,'real estate',2,bank,own,2,'unskilled resident',1,none,yes,1
<0,2,'existing paid',education,1,'no known savings',>=7,4,'male single',none,4,'no known property',2,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,-1
<0,1,'critical/other existing credit','used car',1,<100,>=7,4,'male single',none,4,'no known property',2,none,'for free',2,'high qualif/self emp/mgmt',1,none,yes,1
<0,2,'existing paid',radio/tv,1,<100,<1,4,'male single',none,3,car,1,none,own,1,skilled,1,none,yes,-1
0<=X<200,1,'delayed previously',radio/tv,2,<100,4<=X<7,2,'male single',none,4,'life insurance',2,none,own,1,skilled,1,none,yes,1
'no checking',3,'no credits/all paid','used car',2,'no known savings',1<=X<4,2,'male single',none,2,'life insurance',2,none,own,1,'unskilled resident',2,none,yes,1
'no checking',2,'existing paid',radio/tv,2,'no known savings',<1,1,'female div/dep/mar',none,1,car,2,none,own,2,skilled,1,yes,yes,-1
'no checking',1,'existing paid',business,1,100<=X<500,1<=X<4,3,'female div/dep/mar',none,4,'life insurance',1,none,rent,1,'unskilled resident',1,none,yes,1
<0,2,'existing paid',other,1,<100,>=7,4,'female div/dep/mar',guarantor,4,'real estate',2,none,own,1,'unskilled resident',1,yes,yes,1
<0,1,'existing paid',radio/tv,1,<100,>=7,3,'male single',none,4,'real estate',2,none,own,1,'unskilled resident',1,none,yes,1
'no checking',1,'critical/other existing credit',business,1,<100,1<=X<4,4,'female div/dep/mar',guarantor,2,'real estate',1,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,1
0<=X<200,1,'critical/other existing credit',furniture/equipment,1,<100,<1,4,'female div/dep/mar',none,1,'life insurance',1,none,own,2,skilled,1,none,yes,1
0<=X<200,2,'existing paid',education,2,100<=X<500,1<=X<4,1,'male single',none,4,'no known property',2,none,'for free',1,skilled,2,yes,yes,-1
<0,1,'existing paid','new car',1,100<=X<500,4<=X<7,4,'male single',none,3,car,1,none,own,1,'high qualif/self emp/mgmt',2,yes,yes,1
<0,1,'no credits/all paid',repairs,1,<100,4<=X<7,4,'male single',none,3,'real estate',1,none,own,2,skilled,1,none,yes,-1
'no checking',1,'critical/other existing credit',radio/tv,1,<100,>=7,4,'male single',none,4,'real estate',2,none,own,1,skilled,1,none,yes,1
<0,1,'critical/other existing credit','used car',1,<100,>=7,4,'male single',none,3,'real estate',2,none,own,1,skilled,1,none,yes,1
'no checking',1,'critical/other existing credit',radio/tv,1,'no known savings',>=7,4,'female div/dep/mar',none,3,'life insurance',1,bank,own,1,'unskilled resident',2,none,yes,-1
>=200,2,'critical/other existing credit',furniture/equipment,1,'no known savings',>=7,4,'male single','co applicant',4,'no known property',1,none,rent,2,skilled,1,none,yes,1
0<=X<200,1,'existing paid','new car',1,>=1000,>=7,4,'male single',none,4,'real estate',2,none,own,1,skilled,1,yes,yes,1
0<=X<200,3,'no credits/all paid',business,2,<100,<1,3,'male single',none,4,'no known property',2,none,rent,1,skilled,1,yes,yes,-1
'no checking',1,'critical/other existing credit',education,1,'no known savings',4<=X<7,4,'female div/dep/mar',none,2,car,2,none,own,1,skilled,1,none,yes,1
0<=X<200,1,'existing paid',business,1,100<=X<500,1<=X<4,4,'male single',none,4,car,1,none,own,1,skilled,1,none,yes,1
0<=X<200,2,'critical/other existing credit',radio/tv,1,<100,>=7,4,'male single',none,4,'real estate',2,none,own,1,skilled,1,none,yes,1
0<=X<200,2,'delayed previously','used car',2,'no known savings',4<=X<7,3,'male single',none,4,'life insurance',2,bank,rent,2,'high qualif/self emp/mgmt',2,yes,yes,1
'no checking',2,'existing paid','new car',1,100<=X<500,>=7,4,'male mar/wid',none,4,'real estate',2,none,rent,1,'unskilled resident',1,none,yes,1
0<=X<200,2,'existing paid',radio/tv,1,<100,4<=X<7,4,'male single',none,4,car,1,none,rent,1,skilled,1,none,yes,1
'no checking',1,'delayed previously',radio/tv,1,<100,1<=X<4,3,'female div/dep/mar',none,2,'real estate',1,none,own,1,skilled,1,none,yes,1
0<=X<200,1,'critical/other existing credit',furniture/equipment,1,<100,4<=X<7,4,'male single',none,3,car,2,none,rent,1,skilled,1,yes,yes,1
'no checking',1,'existing paid','used car',1,'no known savings',<1,2,'male mar/wid',none,4,car,1,none,rent,1,skilled,1,yes,yes,1
0<=X<200,2,'critical/other existing credit',other,2,<100,1<=X<4,2,'male single','co applicant',3,car,2,none,own,2,'high qualif/self emp/mgmt',2,yes,yes,-1
'no checking',1,'all paid','new car',2,<100,>=7,2,'male single',none,4,'no known property',2,bank,own,2,'high qualif/self emp/mgmt',2,yes,yes,-1
0<=X<200,1,'existing paid','new car',2,<100,4<=X<7,2,'male single',none,2,car,1,none,own,1,skilled,1,none,yes,1
<0,2,'existing paid',furniture/equipment,2,'no known savings',<1,1,'female div/dep/mar',none,2,'life insurance',1,none,own,1,skilled,1,yes,no,1
0<=X<200,1,'existing paid',business,1,500<=X<1000,>=7,1,'male mar/wid',none,2,'real estate',2,none,own,1,skilled,1,yes,yes,1
>=200,1,'existing paid',education,1,<100,<1,4,'female div/dep/mar',none,4,'life insurance',1,none,rent,1,skilled,1,yes,yes,1
0<=X<200,1,'existing paid','new car',2,<100,4<=X<7,3,'male single',none,3,'real estate',1,none,rent,1,'unskilled resident',1,none,yes,1
'no checking',2,'critical/other existing credit','new car',2,<100,1<=X<4,4,'female div/dep/mar',none,2,'real estate',1,stores,own,2,skilled,1,yes,yes,-1
<0,1,'existing paid',radio/tv,1,500<=X<1000,>=7,3,'male mar/wid',none,1,'real estate',2,none,own,1,skilled,1,none,yes,1
'no checking',3,'critical/other existing credit',radio/tv,1,'no known savings',>=7,4,'male single',none,1,'real estate',2,none,own,1,skilled,1,yes,yes,1
<0,2,'existing paid',radio/tv,2,'no known savings',4<=X<7,4,'female div/dep/mar',none,3,car,1,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,-1
<0,1,'critical/other existing credit',furniture/equipment,1,'no known savings',<1,2,'female div/dep/mar','co applicant',3,'real estate',1,none,rent,2,skilled,1,none,no,1
0<=X<200,1,'critical/other existing credit','new car',1,500<=X<1000,4<=X<7,3,'male div/sep',none,3,car,2,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,1
<0,2,'existing paid',radio/tv,1,<100,1<=X<4,3,'female div/dep/mar',none,2,'real estate',1,none,own,2,skilled,1,yes,yes,-1
'no checking',2,'critical/other existing credit','used car',1,<100,>=7,4,'female div/dep/mar',none,2,car,2,none,rent,2,'high qualif/self emp/mgmt',1,yes,yes,1
'no checking',1,'existing paid',furniture/equipment,1,<100,1<=X<4,3,'male single',none,2,'real estate',1,none,rent,1,'unskilled resident',1,none,yes,1
>=200,1,'critical/other existing credit','new car',1,<100,>=7,4,'male single',none,4,'no known property',2,none,'for free',2,skilled,1,yes,yes,1
0<=X<200,1,'existing paid',furniture/equipment,1,'no known savings',<1,4,'female div/dep/mar',none,3,'real estate',1,none,rent,1,skilled,1,none,yes,-1
<0,1,'critical/other existing credit','new car',1,<100,1<=X<4,4,'male single',none,2,'life insurance',1,none,own,2,skilled,1,none,yes,1
<0,1,'existing paid',radio/tv,1,<100,1<=X<4,4,'male mar/wid',none,2,'real estate',2,none,own,1,'unskilled resident',1,none,yes,1
0<=X<200,1,'existing paid',repairs,1,<100,1<=X<4,4,'male single',none,2,car,1,none,own,1,skilled,1,none,yes,-1
0<=X<200,3,'existing paid','new car',2,'no known savings',4<=X<7,1,'female div/dep/mar',none,2,car,1,none,own,1,skilled,1,none,yes,1
'no checking',1,'existing paid',furniture/equipment,1,<100,<1,2,'male single',none,3,'life insurance',1,bank,own,2,'unskilled resident',1,none,yes,1
'no checking',1,'existing paid',furniture/equipment,1,<100,1<=X<4,4,'male single',none,4,'no known property',2,bank,'for free',2,skilled,1,none,yes,1
'no checking',3,'existing paid',radio/tv,2,100<=X<500,4<=X<7,2,'female div/dep/mar',none,4,'real estate',1,none,own,1,skilled,1,yes,yes,1
'no checking',1,'critical/other existing credit',radio/tv,1,'no known savings',>=7,4,'female div/dep/mar',none,2,'real estate',2,none,own,2,skilled,1,yes,yes,1
'no checking',2,'delayed previously','used car',2,>=1000,1<=X<4,2,'male single',none,2,car,1,none,own,2,skilled,1,none,yes,1
0<=X<200,1,'existing paid',radio/tv,1,500<=X<1000,1<=X<4,4,'male single',none,3,'real estate',2,none,own,1,'unskilled resident',1,none,yes,-1
0<=X<200,1,'critical/other existing credit',radio/tv,1,'no known savings',4<=X<7,4,'male single',guarantor,2,'real estate',2,bank,own,3,skilled,1,yes,yes,1
>=200,1,'existing paid',radio/tv,1,<100,1<=X<4,2,'female div/dep/mar',none,2,car,2,none,rent,1,'unskilled resident',1,yes,yes,1
>=200,1,'existing paid','new car',1,>=1000,<1,2,'male mar/wid',none,2,'real estate',1,none,own,1,'unemp/unskilled non res',1,none,no,1
<0,2,'existing paid',radio/tv,1,<100,1<=X<4,3,'male single',none,2,car,1,none,own,1,'high qualif/self emp/mgmt',1,none,yes,1
<0,1,'existing paid',furniture/equipment,1,<100,1<=X<4,2,'male single',none,2,car,1,none,own,1,skilled,1,none,yes,-1
'no checking',2,'critical/other existing credit',furniture/equipment,1,<100,<1,4,'female div/dep/mar',none,4,'life insurance',1,none,own,1,skilled,1,yes,yes,1
'no checking',1,'critical/other existing credit','new car',1,100<=X<500,4<=X<7,4,'female div/dep/mar',none,3,car,2,none,own,2,skilled,1,yes,yes,1
'no checking',1,'critical/other existing credit',radio/tv,1,>=1000,>=7,4,'male single',none,4,car,2,none,own,2,skilled,1,none,yes,1
'no checking',1,'existing paid',radio/tv,1,100<=X<500,>=7,2,'male single',none,4,'no known property',2,bank,'for free',1,skilled,2,yes,yes,1
'no checking',1,'existing paid',radio/tv,1,<100,1<=X<4,1,'male single',none,4,'life insurance',2,none,own,1,skilled,1,yes,no,1
>=200,2,'existing paid',radio/tv,2,<100,1<=X<4,4,'male single',none,1,car,1,none,own,1,skilled,1,none,yes,1
0<=X<200,2,'critical/other existing credit','used car',2,>=1000,>=7,2,'female div/dep/mar',none,4,'no known property',1,none,rent,1,skilled,1,none,yes,1
0<=X<200,2,'delayed previously',business,2,100<=X<500,4<=X<7,4,'male single',none,4,car,2,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,1
<0,1,'existing paid',furniture/equipment,1,<100,1<=X<4,2,'female div/dep/mar',none,4,car,1,none,rent,1,skilled,1,none,yes,-1
<0,1,'critical/other existing credit',repairs,1,100<=X<500,>=7,3,'male single',guarantor,4,'real estate',2,none,own,2,skilled,2,none,no,1
<0,1,'all paid',retraining,1,<100,>=7,4,'male mar/wid',none,1,car,2,bank,own,1,'unskilled resident',1,none,yes,1
0<=X<200,2,'existing paid','new car',1,100<=X<500,4<=X<7,2,'male single',none,3,car,2,bank,own,2,skilled,1,yes,yes,1
'no checking',1,'critical/other existing credit',radio/tv,1,'no known savings',1<=X<4,1,'male single',none,2,'real estate',1,none,own,2,'unskilled resident',2,none,yes,1
'no checking',2,'critical/other existing credit',radio/tv,1,100<=X<500,>=7,3,'male single',none,4,'real estate',2,none,own,1,skilled,2,yes,yes,1
'no checking',1,'critical/other existing credit','new car',1,<100,<1,4,'female div/dep/mar',none,1,'life insurance',1,none,own,2,skilled,1,none,yes,1
'no checking',1,'existing paid','domestic appliance',1,500<=X<1000,4<=X<7,4,'male single',none,3,'life insurance',2,none,own,2,skilled,1,yes,yes,1
0<=X<200,1,'existing paid','new car',2,<100,unemployed,2,'male single',none,4,'no known property',2,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,1
'no checking',2,'existing paid','new car',1,500<=X<1000,>=7,4,'male single',none,4,'life insurance',2,none,own,1,skilled,1,none,yes,1
'no checking',1,'existing paid',furniture/equipment,1,500<=X<1000,1<=X<4,1,'male single',none,2,car,1,none,own,1,skilled,1,yes,yes,1
<0,1,'existing paid',furniture/equipment,1,<100,unemployed,4,'female div/dep/mar',none,2,car,1,none,own,1,skilled,1,none,yes,-1
0<=X<200,1,'existing paid',furniture/equipment,1,>=1000,<1,4,'female div/dep/mar',none,1,'real estate',1,none,own,1,skilled,1,none,yes,1
'no checking',2,'existing paid',furniture/equipment,1,<100,4<=X<7,2,'female div/dep/mar',none,4,'life insurance',1,none,rent,1,skilled,1,yes,yes,1
0<=X<200,2,'critical/other existing credit',business,1,<100,>=7,4,'male div/sep',none,4,'real estate',1,none,own,2,skilled,1,yes,yes,-1
<0,1,'no credits/all paid','new car',1,<100,>=7,4,'male single',none,3,car,1,none,rent,2,skilled,2,none,yes,-1
'no checking',1,'existing paid',furniture/equipment,1,<100,1<=X<4,4,'female div/dep/mar',none,1,'real estate',1,none,own,1,skilled,1,yes,yes,1
0<=X<200,2,'delayed previously',furniture/equipment,1,<100,unemployed,3,'female div/dep/mar',none,2,'life insurance',1,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,-1
0<=X<200,1,'existing paid',radio/tv,1,<100,1<=X<4,4,'male single',guarantor,2,'real estate',1,none,own,1,skilled,1,none,no,1
<0,2,'delayed previously',education,1,<100,<1,2,'male single',none,1,'life insurance',1,none,own,2,skilled,1,none,yes,-1
<0,1,'critical/other existing credit',radio/tv,1,500<=X<1000,>=7,4,'male single',none,4,car,2,none,own,2,skilled,1,none,yes,1
<0,2,'critical/other existing credit','new car',1,<100,>=7,4,'male single',none,4,'real estate',2,none,own,2,skilled,1,none,yes,1
'no checking',2,'delayed previously',business,2,<100,<1,1,'male div/sep',none,1,car,1,none,own,2,skilled,1,none,yes,-1
0<=X<200,2,'delayed previously',business,1,<100,1<=X<4,2,'male div/sep',none,2,'real estate',1,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,-1
<0,2,'all paid','new car',1,'no known savings',1<=X<4,4,'male single',none,2,'life insurance',2,none,own,2,'unskilled resident',2,none,yes,-1
'no checking',2,'critical/other existing credit',furniture/equipment,1,>=1000,1<=X<4,4,'male single',none,4,'real estate',2,none,own,1,skilled,1,yes,yes,1
0<=X<200,1,'critical/other existing credit','new car',1,<100,>=7,4,'male single',none,4,car,2,bank,own,1,skilled,2,yes,yes,-1
'no checking',1,'critical/other existing credit',radio/tv,1,<100,1<=X<4,4,'male single',none,2,'life insurance',1,none,own,2,skilled,1,none,yes,1
0<=X<200,1,'all paid','used car',2,<100,>=7,2,'female div/dep/mar',none,4,'no known property',3,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,yes,-1
0<=X<200,1,'critical/other existing credit','new car',1,<100,unemployed,2,'male single',none,3,car,2,none,'for free',3,'unemp/unskilled non res',1,yes,yes,1
<0,1,'existing paid',radio/tv,1,100<=X<500,4<=X<7,4,'male mar/wid',none,1,'life insurance',1,none,own,1,skilled,1,none,yes,-1
0<=X<200,1,'no credits/all paid',furniture/equipment,1,<100,1<=X<4,1,'female div/dep/mar',none,4,car,1,bank,own,2,skilled,1,yes,yes,1
'no checking',2,'existing paid',business,2,>=1000,1<=X<4,2,'male single',none,3,'life insurance',2,none,own,3,'high qualif/self emp/mgmt',1,yes,yes,-1
0<=X<200,3,'no credits/all paid',business,1,100<=X<500,4<=X<7,4,'male single',none,4,'no known property',1,none,'for free',1,'unskilled resident',2,none,yes,-1
0<=X<200,2,'existing paid',business,1,<100,1<=X<4,4,'male single',none,2,car,2,none,own,1,skilled,2,yes,yes,-1
'no checking',1,'existing paid',radio/tv,1,<100,4<=X<7,2,'male mar/wid',none,2,'real estate',1,none,rent,1,skilled,1,none,yes,1
0<=X<200,3,'existing paid',radio/tv,1,100<=X<500,1<=X<4,4,'male single',guarantor,4,'life insurance',1,none,rent,1,skilled,1,none,yes,-1
0<=X<200,1,'critical/other existing credit',education,1,<100,>=7,2,'female div/dep/mar',none,3,car,1,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,-1
