17/05/24-19:57:50 | Phase 1 | BEGIN | Parameter initialization
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 0.199999999999999, 0.63080808080808, 1.06161616161616, 1.49242424242424, 1.92323232323232, 2.3540404040404, 2.78484848484848, 3.21565656565657, 3.64646464646465, 4.07727272727273, 4.50808080808081, 4.93888888888889, 5.36969696969697, 5.80050505050505, 6.23131313131313, 6.66212121212121, 7.09292929292929, 7.52373737373737, 7.95454545454546, 8.38535353535354, 8.81616161616162, 9.2469696969697, 9.67777777777778, 10.1085858585859, 10.5393939393939, 10.970202020202, 11.4010101010101, 11.8318181818182, 12.2626262626263, 12.6934343434343, 13.1242424242424, 13.5550505050505, 13.9858585858586, 14.4166666666667, 14.8474747474747, 15.2782828282828, 15.7090909090909, 16.139898989899, 16.5707070707071, 17.0015151515152, 17.4323232323232, 17.8631313131313, 18.2939393939394, 18.7247474747475, 19.1555555555556, 19.5863636363636, 20.0171717171717, 20.4479797979798, 20.8787878787879, 21.309595959596, 21.740404040404, 22.1712121212121, 22.6020202020202, 23.0328282828283, 23.4636363636364, 23.8944444444444, 24.3252525252525, 24.7560606060606, 25.1868686868687, 25.6176767676768, 26.0484848484849, 26.4792929292929, 26.910101010101, 27.3409090909091, 27.7717171717172, 28.2025252525253, 28.6333333333333, 29.0641414141414, 29.4949494949495, 29.9257575757576, 30.3565656565657, 30.7873737373737, 31.2181818181818, 31.6489898989899, 32.079797979798, 32.5106060606061, 32.9414141414141, 33.3722222222222, 33.8030303030303, 34.2338383838384, 34.6646464646465, 35.0954545454545, 35.5262626262626, 35.9570707070707, 36.3878787878788, 36.8186868686869, 37.249494949495, 37.680303030303, 38.1111111111111, 38.5419191919192, 38.9727272727273, 39.4035353535354, 39.8343434343434, 40.2651515151515, 40.6959595959596, 41.1267676767677, 41.5575757575758, 41.9883838383838, 42.4191919191919, 42.85
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 21
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 0.0962399999999999, 0.145772929292929, 0.195305858585858, 0.244838787878788, 0.294371717171717, 0.343904646464646, 0.393437575757576, 0.442970505050505, 0.492503434343434, 0.542036363636364, 0.591569292929293, 0.641102222222222, 0.690635151515151, 0.740168080808081, 0.78970101010101, 0.839233939393939, 0.888766868686869, 0.938299797979798, 0.987832727272727, 1.03736565656566, 1.08689858585859, 1.13643151515152, 1.18596444444444, 1.23549737373737, 1.2850303030303, 1.33456323232323, 1.38409616161616, 1.43362909090909, 1.48316202020202, 1.53269494949495, 1.58222787878788, 1.63176080808081, 1.68129373737374, 1.73082666666667, 1.7803595959596, 1.82989252525253, 1.87942545454545, 1.92895838383838, 1.97849131313131, 2.02802424242424, 2.07755717171717, 2.1270901010101, 2.17662303030303, 2.22615595959596, 2.27568888888889, 2.32522181818182, 2.37475474747475, 2.42428767676768, 2.47382060606061, 2.52335353535354, 2.57288646464646, 2.62241939393939, 2.67195232323232, 2.72148525252525, 2.77101818181818, 2.82055111111111, 2.87008404040404, 2.91961696969697, 2.9691498989899, 3.01868282828283, 3.06821575757576, 3.11774868686869, 3.16728161616162, 3.21681454545455, 3.26634747474747, 3.3158804040404, 3.36541333333333, 3.41494626262626, 3.46447919191919, 3.51401212121212, 3.56354505050505, 3.61307797979798, 3.66261090909091, 3.71214383838384, 3.76167676767677, 3.8112096969697, 3.86074262626263, 3.91027555555556, 3.95980848484848, 4.00934141414141, 4.05887434343434, 4.10840727272727, 4.1579402020202, 4.20747313131313, 4.25700606060606, 4.30653898989899, 4.35607191919192, 4.40560484848485, 4.45513777777778, 4.50467070707071, 4.55420363636364, 4.60373656565657, 4.65326949494949, 4.70280242424242, 4.75233535353535, 4.80186828282828, 4.85140121212121, 4.90093414141414, 4.95046707070707, 5
17/05/24-19:57:50 | Phase 1 | Step 8: Writting H values | Started
17/05/24-19:57:50 | Phase 1 | Step 8: Writting H values | Finished
17/05/24-19:57:50 | Phase 1 | END   | Parameters READY
17/05/24-19:57:50 | Phase 2 | Discretization Policy Calculation  | STARTED
17/05/24-19:57:51 | Phase 2 | < 3 , 1 , 1 , 1 > NI_PLUS   | 167
17/05/24-19:57:51 | Phase 2 | < 3 , 1 , 1 , 1 > NI_MINUS   | 97
17/05/24-19:57:51 | Phase 2 | < 3 , 1 , 1 , 1 > h_plus   | 0.0688959999999952
17/05/24-19:57:51 | Phase 2 | < 3 , 1 , 1 , 1 > fraction   | 1.72164948453608
17/05/24-19:57:51 | Phase 2 | < 3 , 1 , 1 , 1 > h_minus   | 0.11861476288659
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 1 > ACC[var,h]  | 0.49952380952381
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 1 > Zeros   | 38.6186147628852, 40.7311040000009
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 1 > Num zeros  | 2
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 1 > Best Policy           | 38.6186147628852, 40.7311040000009
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 1 > Best Policy (Metric)  | 0.49952380952381
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 1 > Best Policy (H +   )  | 0.0688959999999952
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 1 > Best Policy (H -   )  | 0.11861476288659
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 2 > NI_PLUS   | 167
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 2 > NI_MINUS   | 97
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 2 > h_plus   | 0.0954728080808033
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 2 > fraction   | 1.72164948453608
17/05/24-19:57:52 | Phase 2 | < 3 , 1 , 1 , 2 > h_minus   | 0.164370710819527
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 2 > ACC[var,h]  | 0.49952380952381
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 2 > Zeros   | 38.6643707108195, 39.7643707108186, 40.7045271919203
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 2 > Num zeros  | 3
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 3 > NI_PLUS   | 167
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 3 > NI_MINUS   | 97
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 3 > h_plus   | 0.122049616161611
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 3 > fraction   | 1.72164948453608
17/05/24-19:57:54 | Phase 2 | < 3 , 1 , 1 , 3 > h_minus   | 0.210126658752465
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 3 > ACC[var,h]  | 0.49952380952381
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 3 > Zeros   | 38.7101266587522, 39.7897727272717, 40.0220496161616
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 3 > Num zeros  | 3
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 4 > NI_PLUS   | 167
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 4 > NI_MINUS   | 97
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 4 > h_plus   | 0.14862642424242
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 4 > fraction   | 1.72164948453608
17/05/24-19:57:56 | Phase 2 | < 3 , 1 , 1 , 4 > h_minus   | 0.255882606685403
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 4 > ACC[var,h]  | 0.492380952380952
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 4 > Zeros   | 38.7558826066854, 39.2165654596612, 39.789772727274, 40.1513735757578, 40.4486264242421
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 4 > Num zeros  | 5
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 5 > NI_PLUS   | 167
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 5 > NI_MINUS   | 97
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 5 > h_plus   | 0.175203232323228
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 5 > fraction   | 1.72164948453608
17/05/24-19:57:58 | Phase 2 | < 3 , 1 , 1 , 5 > h_minus   | 0.30163855461834
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 5 > ACC[var,h]  | 0.496190476190476
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 5 > Zeros   | 39.2165654596616, 39.7961747254451, 40.0752032323225, 40.6247967676784
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 5 > Num zeros  | 4
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 6 > NI_PLUS   | 167
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 6 > NI_MINUS   | 97
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 6 > h_plus   | 0.201780040404036
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 6 > fraction   | 1.72164948453608
17/05/24-19:57:59 | Phase 2 | < 3 , 1 , 1 , 6 > h_minus   | 0.347394502551278
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 6 > ACC[var,h]  | 0.480952380952381
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 6 > Zeros   | 38.898219959597, 39.2165654596583, 39.8232519475266, 40.598219959597
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 6 > Num zeros  | 4
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 7 > NI_PLUS   | 167
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 7 > NI_MINUS   | 97
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 7 > h_plus   | 0.228356848484844
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 7 > fraction   | 1.72164948453608
17/05/24-19:58:01 | Phase 2 | < 3 , 1 , 1 , 7 > h_minus   | 0.393150450484216
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 7 > ACC[var,h]  | 0.487619047619048
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 7 > Zeros   | 38.8764427294338, 39.8541176948763, 40.5716431515153
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 7 > Num zeros  | 3
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 8 > NI_PLUS   | 167
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 8 > NI_MINUS   | 97
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 8 > h_plus   | 0.254933656565652
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 8 > fraction   | 1.72164948453608
17/05/24-19:58:03 | Phase 2 | < 3 , 1 , 1 , 8 > h_minus   | 0.438906398417154
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 8 > ACC[var,h]  | 0.488571428571429
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 8 > Zeros   | 38.8654321080975, 39.0262361117797, 39.8887605068721
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 8 > Num zeros  | 3
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 9 > NI_PLUS   | 167
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 9 > NI_MINUS   | 97
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 9 > h_plus   | 0.28151046464646
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 9 > fraction   | 1.72164948453608
17/05/24-19:58:04 | Phase 2 | < 3 , 1 , 1 , 9 > h_minus   | 0.484662346350091
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 9 > ACC[var,h]  | 0.488571428571429
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 9 > Zeros   | 38.853595926914, 39.077157115897, 39.9271675754339
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 9 > Num zeros  | 3
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > NI_PLUS   | 167
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > NI_MINUS   | 97
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > h_plus   | 0.308087272727268
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > fraction   | 1.72164948453608
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > h_minus   | 0.530418294283029
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > ACC[var,h]  | 0
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > Zeros   | 
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 10 > Num zeros  | 0
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 11 > NI_PLUS   | 167
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 11 > NI_MINUS   | 97
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 11 > h_plus   | 0.334664080808076
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 11 > fraction   | 1.72164948453608
17/05/24-19:58:06 | Phase 2 | < 3 , 1 , 1 , 11 > h_minus   | 0.576174242215967
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 11 > ACC[var,h]  | 0.5
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 11 > Zeros   | 39.9670161797344
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 11 > Num zeros  | 1
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 11 > Best Policy           | 39.9670161797344
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 11 > Best Policy (Metric)  | 0.5
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 11 > Best Policy (H +   )  | 0.334664080808076
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 11 > Best Policy (H -   )  | 0.576174242215967
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 12 > NI_PLUS   | 167
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 12 > NI_MINUS   | 97
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 12 > h_plus   | 0.361240888888885
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 12 > fraction   | 1.72164948453608
17/05/24-19:58:08 | Phase 2 | < 3 , 1 , 1 , 12 > h_minus   | 0.621930190148904
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 12 > ACC[var,h]  | 0.5
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 12 > Zeros   | 39.9750987948032
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 12 > Num zeros  | 1
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 13 > NI_PLUS   | 167
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 13 > NI_MINUS   | 97
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 13 > h_plus   | 0.387817696969693
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 13 > fraction   | 1.72164948453608
17/05/24-19:58:10 | Phase 2 | < 3 , 1 , 1 , 13 > h_minus   | 0.667686138081842
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 13 > ACC[var,h]  | 0.5
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 13 > Zeros   | 39.983950287683
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 13 > Num zeros  | 1
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 14 > NI_PLUS   | 167
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 14 > NI_MINUS   | 97
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 14 > h_plus   | 0.414394505050501
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 14 > fraction   | 1.72164948453608
17/05/24-19:58:12 | Phase 2 | < 3 , 1 , 1 , 14 > h_minus   | 0.71344208601478
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 14 > ACC[var,h]  | 0.5
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 14 > Zeros   | 39.9936139074101
17/05/24-19:58:14 | Phase 2 | < 3 , 1 , 1 , 14 > Num zeros  | 1
