@relation R_data_frame

@attribute name {'Aaron Feigelson','Alexander M. Meystel','Alma Whitten','Ameur Foued','Andrew W. Moore','Andrew Y. Ng','Andrey Burago','Anselm Blumer','Antoine Cornuejols','Arlindo Oliveira','Armand Prieditis','Arun Sharma','Attilio Giordana','Aurora Perez','Avrim Blum','Bala Kalyanasundaram','Barak A. Pearlmutter','Bernhard Pfahringer','Bhaskar Dasgupta','Bill Byrne','Bir Bhanu','Bob Evans','Bradley L. Whitehall','Brian D. Davidson','Brian Tester','Bruce A. MacDonald','Carl H. Smith','Carla E. Brodley','Charles X. Ling','Chen K. Tham','Chidanand Apte','Chris Darken','Chris Drummond','Chun-Nan Hsu','Claire Cardie','Clare Bates Congdon','Claude Sammut','Claudio Facchinetti','Craig Knoblock','Craig Nevill-Manning','Cristina Baroglio','Cullen Schaffer','Dan Oblinger','Dan Roth','Dana Angluin','Dana Ron','Daniel Hennessy','Daniel Kortenkamp','Daniel L. Silver','Darko Zupanic','David B. Skalak','David Cohn','David Finton','David Gillman','David Haussler','David Helmbold','David Loewenstern','David Mathias','David Montgomery','David Pierce','David W. Aha','David W. Opitz','Dennis F. Kibler','Diana Gordon','Donna Slonim','Drago Indjic','Dunja Mladenic','Earl S. Harris Jr.','Ed Pednault','Eddy Mayoraz','Efim Kinber','Emanuel Knill','Eric Allender','Eric Baum','Eyal Kushilevitz','Fernando Pereira','Filippo Neri','Foster J. Provost','Frank Stephan','Gary M. Selzer','Gary Weiss','Geoffrey Gordon','George A. Drastal','George Berg','George H. John','Gerald F. DeJong','Glenn Silverstein','Grigoris Karakoulas','Hal Duncan','Haralabos Athanassiou','Harris Drucker','Haym Hirsh','Hiroshi Motoda','Hiroshi Tanaka','Holly Yanco','Huw Roberts','Irina Tchoumatchenko','J. Jeffrey Mahoney','J. R. Quinlan','James S. Royer','Janusz Wnek','Jason Catlett','Javed Aslam','Jean Gabriel Ganascia','Jean-Daniel Zucker','Jeff Jackson','Jeffery Clouse','Jiarong Hong','Jing Peng','Joe Suzuki','Joel Ratsaby','Johanne Morin','Johannes Furnkranz','John Case','John Fischer','John M. Zelle','John R. Rose','John Rachlin','Jonathan Gratch','Jonathan Hodgson','Jong-Hoon Oh','Jorg-Uwe Kietz','Jose L. Balcazar','Joseph O\'Sullivan','Jude Shavlik','Judy A. Franklin','Justin Boyan','Justinian Rosca','Jyrki Kivinen','Kamal M. Ali','Kan Deng','Karsten Verbeurgt','Kate Goelz','Kazushi Ikeda','Ken Lang','Kenji Yamanishi','Kimmen Sjolander','Klaus P. Jantke','Krishnan Pillaipakkamnatt','L. Thorne McCarty','Lance Fortnow','Lance Riley','Lars Asker','Leonard Pitt','Leslie Grate','Leslie Pack Kaelbling','Lindley Darden','Lisa Hellerstein','Long-Ji Lin','Lorenza Saitta','Lorien Y. Pratt','Lyle H. Ungar','Maja Mataric','Malini Bhandaru','Mandayam T. Suraj','Manfred Warmuth','Marcos Salganicoff','Margo Guertin','Mario Marchand','Mark Changizi','Mark Schwabacher','Mark Staley','Mark W. Craven','Marko Grobelnik','Martin Kummer','Martinch Krikis','Mary Soon Lee','Masayuki Inaba','Matevz Kovacic','Matthias Heger','Melinda T. Gervasio','Merrick L. Furst','Michael A. meystel','Michael I. Jordan','Michael J. Donahue','Michael Kearns','Michael Littman','Michael Redmond','Michael W. Barley','Michael de la Maza','Michele Sebag','Minoru Asada','Mona Singh','Moshe Koppel','Moshe Leshno','Myriam Abramson','Nader Bshouty','Naoki Abe','Nathalie Japkowicz','Neela Khan','Neil Berkman','Nicolas Fiechter','Nicolo Cesa-Bianchi','Nikolay Nikolaev','Nina Mishra','Nitin Indurkhya','Oded Maron','Olivier De Vel','Pang-Chieh Chen','Pascal Koiran','Pat Langley','Patricia J. Riddle','Patrick M. Murphy','Paul Fischer','Paul Utgoff','Paul Vitanyi','Paul W. Goldberg','Peter Bartlett','Phil Long','Philip Chan','Prasad Tadepalli','Priscilla Rasmussen','R. Andrew McCallum','R. Bharat Rao','Randolph Jones','Reinhard Blasig','Ricard Gavalda','Rich Maclin','Richard A. Caruana','Richard S. Sutton','Robert C. Holte','Robert P. Daley','Robert S. Roos','Robert Schapire','Robert Sloan','Robert Williamson','Roberto Piola','Ron Kohavi','Ronald L. Rivest','Roni Khardon','Ronitt Rubinfeld','Russell Greiner','Sally Goldman','Sandra Panizza','Sanjay Jain','Satinder Pal Singh','Scott E. Decatur','Sean Slattery','Sebastian Seung','Seth Flanders','Shai Ben-David','Shaul Markovitch','Sholom Weiss','Sonya Snedecor','Sreerama K. Murthy','Sridhar Mahadevan','Stan Matwin','Stefan Kramer','Steffen Lange','Stephen Kwek','Stephen Muggleton','Steve A. Chien','Steven Minton','Steven Salzberg','Steven W. Norton','Stuart Russell','Susan L. Epstein','Takefumi Yamazaki','Tal Grossman','Tapio Elomaa','Tatsuo Unemi','Thomas E. Kammeyer','Thomas Ellman','Thomas G. Dietterich','Thomas G. Spalthoff','Thomas Wengerek','Thomas Zeugmann','Timothy P. Barber','Tom Bylander','Tom Fawcett','Tom Hancock','Tom M. Mitchell','Toshiyasu Matsushima','Usama Fayyad','Vijay Raghavan','Von-Wun Soo','Wai Lam','Wan P. Chiang','Wee Sun Lee','Welton Becket','William A. Greene','William Cohen','William Gasarch','William Sakas','Wolfgang Janko','Wolfgang Maass','Wray Buntine','Xuemei Wang','Yishay Mansour','Yoav Freund','Yolanda Gil','Yoram Singer','Yoshifumi Sakai','Zhixiang Chen'}
@attribute length numeric
@attribute even_odd {0,1}
@attribute first_char_vowel {0,1}
@attribute second_char_vowel {0,1}
@attribute vowels numeric
@attribute consonants numeric
@attribute vowel_consonant_ratio numeric
@attribute spaces numeric
@attribute dots numeric
@attribute words numeric
@attribute class {1,-1}

@data
'J. Jeffrey Mahoney',18,1,0,0,5,10,0.5,2,1,3,-1
'J. R. Quinlan',13,0,0,0,3,6,0.5,2,2,3,-1
'James S. Royer',14,1,0,1,4,7,0.57,2,1,3,1
'Jason Catlett',13,0,0,1,4,8,0.5,1,0,2,1
'Javed Aslam',11,0,0,1,4,6,0.67,1,0,2,1
'Jean Gabriel Ganascia',21,0,0,1,9,10,0.9,2,0,3,1
'Jean-Daniel Zucker',18,1,0,1,7,10,0.7,1,0,2,1
'Jeff Jackson',12,1,0,1,3,8,0.38,1,0,2,1
'Jeffery Clouse',14,1,0,1,5,8,0.62,1,0,2,1
'Jiarong Hong',12,1,0,1,4,7,0.57,1,0,2,1
'Jing Peng',9,0,0,1,2,6,0.33,1,0,2,1
'Joe Suzuki',10,1,0,1,5,4,1.25,1,0,2,1
'Joel Ratsaby',12,1,0,1,4,7,0.57,1,0,2,1
'Johanne Morin',13,0,0,1,5,7,0.71,1,0,2,1
'John Case',9,0,0,1,3,5,0.6,1,0,2,1
'John Fischer',12,1,0,1,3,8,0.38,1,0,2,1
'John M. Zelle',13,0,0,1,3,7,0.43,2,1,3,1
'John R. Rose',12,1,0,1,3,6,0.5,2,1,3,1
'John Rachlin',12,1,0,1,3,8,0.38,1,0,2,1
'Jonathan Gratch',15,0,0,1,4,10,0.4,1,0,2,1
'Jong-Hoon Oh',12,1,0,1,4,7,0.57,1,0,2,1
'Jorg-Uwe Kietz',14,1,0,1,5,8,0.62,1,0,2,1
'Jose L. Balcazar',16,1,0,1,5,8,0.62,2,1,3,1
'Joseph O\'Sullivan',17,0,0,1,6,10,0.6,1,0,2,1
'Jude Shavlik',12,1,0,1,4,7,0.57,1,0,2,1
'Judy A. Franklin',16,1,0,1,4,9,0.44,2,1,3,1
'Justin Boyan',12,1,0,1,4,7,0.57,1,0,2,1
'Justinian Rosca',15,0,0,1,6,8,0.75,1,0,2,1
'Jyrki Kivinen',13,0,0,0,4,8,0.5,1,0,2,-1
'Kamal M. Ali',12,1,0,1,4,5,0.8,2,1,3,1
'Kan Deng',8,1,0,1,2,5,0.4,1,0,2,1
'Karsten Verbeurgt',17,0,0,1,5,11,0.45,1,0,2,1
'Ken Lang',8,1,0,1,2,5,0.4,1,0,2,1
'Kenji Yamanishi',15,0,0,1,6,8,0.75,1,0,2,1
'Kimmen Sjolander',16,1,0,1,5,10,0.5,1,0,2,1
'Klaus P. Jantke',15,0,0,0,4,8,0.5,2,1,3,-1
'Krishnan Pillaipakkamnatt',25,0,0,0,8,16,0.5,1,0,2,-1
'L. Thorne McCarty',17,0,0,0,3,11,0.27,2,1,3,-1
'Lance Fortnow',13,0,0,1,4,8,0.5,1,0,2,1
'Lance Riley',11,0,0,1,4,6,0.67,1,0,2,1
'Leonard Pitt',12,1,0,1,4,7,0.57,1,0,2,1
'Leslie Grate',12,1,0,1,5,6,0.83,1,0,2,1
'Leslie Pack Kaelbling',21,0,0,1,7,12,0.58,2,0,3,1
'Lindley Darden',14,1,0,1,4,9,0.44,1,0,2,1
'Lisa Hellerstein',16,1,0,1,6,9,0.67,1,0,2,1
'Long-Ji Lin',11,0,0,1,3,7,0.43,1,0,2,1
'Lorenza Saitta',14,1,0,1,6,7,0.86,1,0,2,1
'Lorien Y. Pratt',15,0,0,1,4,8,0.5,2,1,3,1
'Lyle H. Ungar',13,0,0,0,3,7,0.43,2,1,3,-1
'Maja Mataric',12,1,0,1,5,6,0.83,1,0,2,1
'Malini Bhandaru',15,0,0,1,6,8,0.75,1,0,2,1
'Mandayam T. Suraj',17,0,0,1,5,9,0.56,2,1,3,1
'Manfred Warmuth',15,0,0,1,4,10,0.4,1,0,2,1
'Marcos Salganicoff',18,1,0,1,6,11,0.55,1,0,2,1
'Mario Marchand',14,1,0,1,5,8,0.62,1,0,2,1
'Mark Changizi',13,0,0,1,4,8,0.5,1,0,2,1
'Mark Staley',11,0,0,1,3,7,0.43,1,0,2,1
'Mark W. Craven',14,1,0,1,3,8,0.38,2,1,3,1
'Marko Grobelnik',15,0,0,1,5,9,0.56,1,0,2,1
'Martin Kummer',13,0,0,1,4,8,0.5,1,0,2,1
'Mary Soon Lee',13,0,0,1,5,6,0.83,2,0,3,1
'Masayuki Inaba',14,1,0,1,7,6,1.17,1,0,2,1
'Matevz Kovacic',14,1,0,1,5,8,0.62,1,0,2,1
'Matthias Heger',14,1,0,1,5,8,0.62,1,0,2,1
'Melinda T. Gervasio',19,0,0,1,7,9,0.78,2,1,3,1
'Merrick L. Furst',16,1,0,1,3,10,0.3,2,1,3,1
'Michael I. Jordan',17,0,0,1,6,8,0.75,2,1,3,1
'Michael J. Donahue',18,1,0,1,7,8,0.88,2,1,3,1
'Michael Kearns',14,1,0,1,5,8,0.62,1,0,2,1
'Michael Littman',15,0,0,1,5,9,0.56,1,0,2,1
'Michael Redmond',15,0,0,1,5,9,0.56,1,0,2,1
'Michael de la Maza',18,1,0,1,7,8,0.88,3,0,4,1
'Michele Sebag',13,0,0,1,5,7,0.71,1,0,2,1
'Minoru Asada',12,1,0,1,6,5,1.2,1,0,2,1
'Mona Singh',10,1,0,1,3,6,0.5,1,0,2,1
'Moshe Koppel',12,1,0,1,4,7,0.57,1,0,2,1
'Moshe Leshno',12,1,0,1,4,7,0.57,1,0,2,1
'Myriam Abramson',15,0,0,0,5,9,0.56,1,0,2,-1
'Nader Bshouty',13,0,0,1,4,8,0.5,1,0,2,1
'Naoki Abe',9,0,0,1,5,3,1.67,1,0,2,1
'Nathalie Japkowicz',18,1,0,1,7,10,0.7,1,0,2,1
'Neela Khan',10,1,0,1,4,5,0.8,1,0,2,1
'Neil Berkman',12,1,0,1,4,7,0.57,1,0,2,1
'Nicolas Fiechter',16,1,0,1,6,9,0.67,1,0,2,1
'Nicolo Cesa-Bianchi',19,0,0,1,8,10,0.8,1,0,2,1
'Nikolay Nikolaev',16,1,0,1,7,8,0.88,1,0,2,1
'Nina Mishra',11,0,0,1,4,6,0.67,1,0,2,1
'Nitin Indurkhya',15,0,0,1,5,9,0.56,1,0,2,1
'Oded Maron',10,1,1,0,4,5,0.8,1,0,2,-1
'Olivier De Vel',14,1,1,0,6,6,1,2,0,3,-1
'Pang-Chieh Chen',15,0,0,1,4,10,0.4,1,0,2,1
'Pascal Koiran',13,0,0,1,5,7,0.71,1,0,2,1
'Pat Langley',11,0,0,1,3,7,0.43,1,0,2,1
'Patricia J. Riddle',18,1,0,1,6,9,0.67,2,1,3,1
'Paul Fischer',12,1,0,1,4,7,0.57,1,0,2,1
'Paul Utgoff',11,0,0,1,4,6,0.67,1,0,2,1
'Paul Vitanyi',12,1,0,1,5,6,0.83,1,0,2,1
'Paul W. Goldberg',16,1,0,1,4,9,0.44,2,1,3,1
'Peter Bartlett',14,1,0,1,4,9,0.44,1,0,2,1
'Phil Long',9,0,0,0,2,6,0.33,1,0,2,-1
'Philip Chan',11,0,0,0,3,7,0.43,1,0,2,-1
'Priscilla Rasmussen',19,0,0,0,6,12,0.5,1,0,2,-1
'R. Andrew McCallum',18,1,0,0,4,11,0.36,2,1,3,-1
'R. Bharat Rao',13,0,0,0,4,6,0.67,2,1,3,-1
'Randolph Jones',14,1,0,1,4,9,0.44,1,0,2,1
'Reinhard Blasig',15,0,0,1,5,9,0.56,1,0,2,1
'Ricard Gavalda',14,1,0,1,5,8,0.62,1,0,2,1
'Rich Maclin',11,0,0,1,3,7,0.43,1,0,2,1
'Richard A. Caruana',18,1,0,1,7,8,0.88,2,1,3,1
'Richard S. Sutton',17,0,0,1,4,10,0.4,2,1,3,1
'Robert C. Holte',15,0,0,1,4,8,0.5,2,1,3,1
'Robert P. Daley',15,0,0,1,4,8,0.5,2,1,3,1
'Robert S. Roos',14,1,0,1,4,7,0.57,2,1,3,1
'Robert Sloan',12,1,0,1,4,7,0.57,1,0,2,1
'Robert Williamson',17,0,0,1,6,10,0.6,1,0,2,1
'Roberto Piola',13,0,0,1,6,6,1,1,0,2,1
'Ron Kohavi',10,1,0,1,4,5,0.8,1,0,2,1
'Ronald L. Rivest',16,1,0,1,4,9,0.44,2,1,3,1
'Roni Khardon',12,1,0,1,4,7,0.57,1,0,2,1
'Ronitt Rubinfeld',16,1,0,1,5,10,0.5,1,0,2,1
'Sally Goldman',13,0,0,1,3,9,0.33,1,0,2,1
'Sandra Panizza',14,1,0,1,5,8,0.62,1,0,2,1
'Sanjay Jain',11,0,0,1,4,6,0.67,1,0,2,1
'Satinder Pal Singh',18,1,0,1,5,11,0.45,2,0,3,1
'Scott E. Decatur',16,1,0,0,5,8,0.62,2,1,3,-1
'Sean Slattery',13,0,0,1,4,8,0.5,1,0,2,1
'Sebastian Seung',15,0,0,1,6,8,0.75,1,0,2,1
'Seth Flanders',13,0,0,1,3,9,0.33,1,0,2,1
'Shaul Markovitch',16,1,0,0,5,10,0.5,1,0,2,-1
'Sholom Weiss',12,1,0,0,4,7,0.57,1,0,2,-1
'Sonya Snedecor',14,1,0,1,5,8,0.62,1,0,2,1
'Sreerama K. Murthy',18,1,0,0,5,10,0.5,2,1,3,-1
'Sridhar Mahadevan',17,0,0,0,6,10,0.6,1,0,2,-1
'Stan Matwin',11,0,0,0,3,7,0.43,1,0,2,-1
'Stefan Kramer',13,0,0,0,4,8,0.5,1,0,2,-1
'Steffen Lange',13,0,0,0,4,8,0.5,1,0,2,-1
'Stephen Kwek',12,1,0,0,3,8,0.38,1,0,2,-1
'Stephen Muggleton',17,0,0,0,5,11,0.45,1,0,2,-1
'Steve A. Chien',14,1,0,0,5,6,0.83,2,1,3,-1
'Steven Minton',13,0,0,0,4,8,0.5,1,0,2,-1
'Steven Salzberg',15,0,0,0,4,10,0.4,1,0,2,-1
'Steven W. Norton',16,1,0,0,4,9,0.44,2,1,3,-1
'Stuart Russell',14,1,0,0,4,9,0.44,1,0,2,-1
'Susan L. Epstein',16,1,0,1,5,8,0.62,2,1,3,1
'Takefumi Yamazaki',17,0,0,1,8,8,1,1,0,2,1
'Tal Grossman',12,1,0,1,3,8,0.38,1,0,2,1
'Tapio Elomaa',12,1,0,1,7,4,1.75,1,0,2,1
'Tatsuo Unemi',12,1,0,1,6,5,1.2,1,0,2,1
'Thomas E. Kammeyer',18,1,0,0,6,9,0.67,2,1,3,-1
'Thomas Ellman',13,0,0,0,4,8,0.5,1,0,2,-1
'Thomas G. Dietterich',20,1,0,0,6,11,0.55,2,1,3,-1
'Thomas G. Spalthoff',19,0,0,0,4,12,0.33,2,1,3,-1
