@relation R_data_frame

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {1,2,3,4}
@attribute pulse {1,2,3,4}
@attribute respiratory_rate {1,2,3,4,5}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {1,2,3,4,5}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {1,2}
@attribute total_protein {1,2,3}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {1,2,3,4,5,6,7}
@attribute outcome {lived,died,euthanized}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
no,adult,1,1,3,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,-1
yes,adult,1,2,3,normal,normal,'bright pink',<3,depressed,hypomotile,none,none,none,3,increased,'distended large intestine',2,1,clear,3,lived,1
no,adult,3,4,4,cold,reduced,'dark cyanotic',<3,'intermittent mild pain',hypomotile,moderate,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,-1
yes,adult,3,2,5,normal,normal,'bright red',>=3,'continuous severe pain',absent,severe,significant,none,3,absent,'distended small intestine',2,1,cloudy,3,lived,1
no,adult,3,1,2,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,<1l,3,absent,'firm feces in large intestine',2,1,cloudy,3,lived,-1
yes,adult,3,1,4,warm,normal,'pale cyanotic',<3,depressed,hypomotile,none,slight,none,3,normal,'distended large intestine',2,1,cloudy,3,lived,1
yes,young,3,4,5,cool,reduced,'normal pink',<3,depressed,absent,none,slight,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,1
yes,adult,1,1,1,cool,reduced,'pale pink',<3,'intermittent mild pain',absent,moderate,significant,>1l,1,absent,'distended large intestine',2,2,cloudy,3,lived,1
no,adult,1,1,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,-1
yes,adult,3,2,4,cold,reduced,'pale pink',>=3,'intermittent mild pain',hypomotile,moderate,slight,none,3,decreased,'distended large intestine',2,1,cloudy,4,lived,1
yes,adult,1,1,1,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,3,normal,'firm feces in large intestine',1,1,cloudy,2,lived,-1
yes,adult,1,2,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,-1
no,adult,1,1,4,warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,-1
no,adult,1,4,4,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,>1l,2,absent,'distended large intestine',2,1,cloudy,3,died,1
no,adult,1,4,1,cool,reduced,'pale cyanotic',>=3,depressed,absent,slight,slight,<1l,4,decreased,'firm feces in large intestine',2,1,serosanguinous,6,euthanized,1
yes,adult,1,1,4,warm,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,1
yes,adult,2,2,3,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,slight,none,3,absent,'distended small intestine',2,1,cloudy,6,lived,1
yes,adult,1,4,4,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,<1l,3,absent,'distended small intestine',2,1,cloudy,3,lived,1
no,adult,1,4,3,cold,reduced,'pale pink',>=3,'intermittent severe pain',absent,moderate,slight,<1l,3,absent,other,2,1,cloudy,3,euthanized,1
no,adult,3,4,2,cool,reduced,'bright red',>=3,'intermittent mild pain',hypomotile,none,none,>1l,3,absent,'distended large intestine',2,1,cloudy,2,euthanized,-1
yes,adult,1,2,4,cool,reduced,'normal pink',<3,'continuous severe pain',hypomotile,none,slight,none,3,normal,normal,2,2,clear,2,lived,1
no,adult,3,1,4,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,3,normal,'firm feces in large intestine',1,1,clear,4,lived,-1
yes,young,3,4,5,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,3,4,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,moderate,none,<1l,3,absent,'distended large intestine',2,1,serosanguinous,3,died,1
no,young,3,4,5,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,1,lived,1
no,adult,1,1,1,cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,none,none,3,increased,other,2,1,cloudy,3,lived,-1
yes,adult,1,4,4,cool,absent,'pale cyanotic',<3,'intermittent severe pain',absent,severe,none,none,3,absent,'distended large intestine',2,2,cloudy,2,euthanized,1
yes,adult,1,4,3,cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,none,slight,none,3,absent,'distended large intestine',2,2,serosanguinous,2,euthanized,1
yes,adult,1,1,2,cool,normal,'pale cyanotic',>=3,'continuous severe pain',absent,severe,slight,>1l,3,absent,'distended large intestine',2,1,cloudy,3,lived,1
no,adult,1,1,2,normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,3,normal,'distended large intestine',1,1,cloudy,3,lived,-1
yes,adult,3,2,4,cool,reduced,'pale pink',>=3,depressed,hypomotile,moderate,slight,>1l,4,decreased,normal,2,1,serosanguinous,3,died,1
no,adult,1,3,4,cool,reduced,'bright red',>=3,'intermittent severe pain',hypermotile,slight,none,>1l,3,increased,normal,2,1,cloudy,4,died,-1
no,adult,3,1,4,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,none,none,3,absent,other,2,1,clear,2,lived,-1
yes,adult,1,3,4,normal,normal,'pale pink',>=3,'intermittent mild pain',hypomotile,slight,slight,none,3,absent,'distended large intestine',2,1,serosanguinous,3,died,1
no,adult,1,2,4,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,slight,none,3,increased,other,2,1,cloudy,3,lived,-1
no,adult,3,1,3,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,-1
no,adult,4,4,4,cool,reduced,'normal pink',>=3,depressed,hypomotile,moderate,slight,none,4,normal,'distended large intestine',2,1,serosanguinous,4,euthanized,1
yes,young,3,4,3,cool,normal,'bright red',<3,'intermittent mild pain',hypomotile,severe,significant,none,3,absent,'distended large intestine',1,1,cloudy,3,died,1
yes,adult,1,2,4,warm,normal,'bright pink',<3,'continuous severe pain',hypomotile,moderate,slight,>1l,3,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,2,3,cold,reduced,'pale pink',<3,'continuous severe pain',absent,moderate,slight,none,3,absent,'distended small intestine',2,1,serosanguinous,3,died,1
no,adult,1,4,4,cool,reduced,'pale pink',>=3,'continuous severe pain',absent,severe,none,>1l,3,absent,'distended large intestine',2,1,cloudy,3,died,1
no,adult,3,1,4,warm,increased,'normal pink',<3,'alert no pain',normal,slight,slight,none,3,normal,normal,2,1,cloudy,3,lived,-1
yes,adult,1,3,3,warm,normal,'bright pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,clear,5,died,1
no,adult,2,4,2,cold,reduced,'pale cyanotic',>=3,depressed,absent,severe,none,none,3,absent,'distended large intestine',2,2,cloudy,2,euthanized,-1
yes,adult,3,2,4,cool,normal,'pale cyanotic',>=3,'intermittent mild pain',hypomotile,slight,none,>1l,4,absent,'distended large intestine',2,1,serosanguinous,4,lived,1
yes,adult,1,1,4,cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,3,decreased,'distended small intestine',1,2,cloudy,2,lived,1
no,adult,1,2,4,normal,normal,'bright red',>=3,'intermittent mild pain',hypomotile,none,none,<1l,1,decreased,'distended small intestine',2,2,clear,2,lived,1
no,adult,3,1,3,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,3,decreased,other,2,1,clear,3,lived,-1
no,adult,1,1,2,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,slight,<1l,3,absent,'distended large intestine',2,1,cloudy,3,lived,-1
no,adult,1,1,1,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,none,none,3,decreased,other,2,1,cloudy,4,lived,-1
no,adult,1,1,3,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,slight,>1l,3,absent,'distended small intestine',2,1,cloudy,3,euthanized,1
yes,adult,1,1,3,normal,normal,'normal pink',<3,'alert no pain',normal,none,slight,none,3,normal,normal,2,1,cloudy,6,lived,-1
yes,adult,1,1,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,1,3,normal,normal,'bright red',<3,'intermittent severe pain',hypomotile,none,slight,<1l,4,normal,'distended large intestine',2,1,cloudy,3,died,1
yes,young,1,2,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',1,1,cloudy,3,died,1
yes,young,3,4,4,cool,reduced,'bright red',>=3,depressed,hypomotile,none,slight,none,3,absent,'distended large intestine',2,2,cloudy,2,euthanized,1
yes,adult,1,1,3,cool,reduced,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,none,3,decreased,'distended large intestine',1,2,cloudy,3,lived,1
yes,adult,1,2,4,cool,reduced,'pale pink','meaning unknown','continuous severe pain',hypomotile,moderate,significant,>1l,3,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,4,3,normal,reduced,'dark cyanotic',>=3,'intermittent mild pain',absent,slight,slight,<1l,3,absent,'distended small intestine',2,1,serosanguinous,3,lived,1
yes,adult,1,4,4,cool,reduced,'pale cyanotic',<3,'intermittent severe pain',hypomotile,slight,slight,none,3,absent,'distended small intestine',2,1,serosanguinous,4,died,1
yes,adult,1,1,4,cool,reduced,'normal pink',<3,depressed,hypomotile,slight,significant,none,3,decreased,'distended large intestine',1,1,serosanguinous,2,lived,1
yes,young,1,4,5,cool,normal,'bright pink',<3,'intermittent mild pain',absent,none,slight,none,3,normal,'distended large intestine',1,1,cloudy,3,lived,1
yes,adult,1,2,3,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,severe,none,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,1,5,normal,reduced,'bright pink',>=3,depressed,hypomotile,moderate,slight,>1l,3,absent,'distended large intestine',2,1,cloudy,3,lived,1
no,adult,1,1,4,warm,reduced,'pale pink','meaning unknown','intermittent mild pain',hypermotile,slight,slight,>1l,3,absent,'distended small intestine',2,1,cloudy,3,lived,-1
no,adult,1,1,2,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,4,euthanized,1
no,adult,3,2,4,normal,normal,'bright red',<3,'intermittent mild pain',hypomotile,slight,slight,none,3,decreased,'firm feces in large intestine',2,1,cloudy,2,lived,-1
no,adult,3,1,1,normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,slight,none,3,absent,'distended large intestine',1,2,cloudy,3,lived,-1
no,adult,4,4,4,cool,reduced,'normal pink',>=3,depressed,hypomotile,moderate,slight,none,4,normal,'distended large intestine',2,1,serosanguinous,4,died,1
no,adult,3,1,3,cool,normal,'normal pink',<3,'alert no pain',hypermotile,none,slight,none,3,decreased,normal,2,1,cloudy,3,lived,-1
no,adult,1,2,4,cool,reduced,'normal pink',<3,'continuous severe pain',hypomotile,moderate,none,none,3,absent,'distended large intestine',1,1,cloudy,3,died,1
no,adult,1,1,4,cold,normal,'pale pink',<3,'intermittent mild pain',normal,none,none,none,3,normal,normal,2,1,cloudy,3,lived,-1
yes,adult,1,1,3,cool,normal,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,3,decreased,'distended large intestine',2,2,cloudy,3,lived,1
no,adult,1,1,4,warm,normal,'pale pink',<3,'alert no pain',hypomotile,slight,none,none,3,normal,'distended large intestine',2,2,cloudy,3,lived,-1
no,adult,3,4,4,cool,reduced,'dark cyanotic',>=3,depressed,absent,moderate,none,>1l,3,decreased,'distended large intestine',2,1,cloudy,3,lived,-1
yes,adult,2,1,2,cool,reduced,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,3,normal,normal,1,2,cloudy,3,lived,-1
no,adult,3,1,2,cool,normal,'normal pink',<3,depressed,hypomotile,none,slight,none,3,absent,'distended large intestine',1,2,cloudy,3,lived,-1
yes,young,1,4,5,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,none,3,increased,normal,2,1,cloudy,3,lived,1
yes,adult,1,2,4,normal,normal,'pale pink',>=3,depressed,hypomotile,slight,slight,none,3,absent,'distended large intestine',1,1,cloudy,3,lived,1
yes,adult,3,1,5,cool,reduced,'pale pink',<3,'intermittent mild pain',hypomotile,none,none,none,3,normal,'distended large intestine',2,1,cloudy,3,lived,1
no,adult,1,1,4,normal,normal,'pale pink',<3,'alert no pain',hypomotile,slight,slight,none,3,normal,'distended large intestine',2,1,cloudy,3,lived,-1
yes,adult,3,1,4,cold,reduced,'bright pink',>=3,'intermittent severe pain',absent,severe,slight,none,3,absent,'distended large intestine',2,2,serosanguinous,2,euthanized,1
yes,young,3,3,4,cool,reduced,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,none,none,3,absent,'distended large intestine',1,1,cloudy,3,died,1
yes,adult,1,2,2,cool,absent,'bright red',>=3,depressed,hypomotile,slight,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,3,1,2,cool,normal,'normal pink',<3,'alert no pain',hypomotile,slight,slight,none,3,absent,'distended large intestine',1,2,clear,2,lived,1
yes,adult,1,1,4,warm,normal,'normal pink',<3,'alert no pain',hypomotile,none,none,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,1
yes,adult,1,1,3,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,7,died,1
yes,adult,3,1,3,cool,normal,'pale cyanotic',<3,'continuous severe pain',absent,moderate,slight,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,1
no,adult,1,2,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,-1
yes,adult,1,2,4,normal,normal,'normal pink',<3,'continuous severe pain',hypomotile,none,slight,none,3,absent,'distended large intestine',1,2,cloudy,2,lived,1
yes,adult,3,1,5,normal,normal,'bright pink',<3,depressed,hypomotile,slight,none,none,3,decreased,'distended small intestine',2,1,cloudy,3,lived,1
yes,adult,3,2,4,cool,normal,'dark cyanotic',>=3,'intermittent severe pain',hypomotile,none,slight,>1l,3,normal,'distended small intestine',2,1,cloudy,2,euthanized,1
no,adult,3,1,3,warm,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,slight,none,3,normal,'distended large intestine',2,2,clear,2,lived,-1
yes,adult,2,2,3,normal,normal,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,3,absent,'distended small intestine',2,1,clear,2,died,1
no,adult,1,1,3,cool,normal,'pale cyanotic',<3,'alert no pain',hypermotile,moderate,slight,none,3,normal,normal,1,1,cloudy,3,euthanized,1
yes,adult,1,1,5,cold,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,>1l,3,absent,'distended small intestine',2,1,cloudy,3,lived,1
yes,adult,3,2,4,cool,normal,'pale pink',<3,'continuous severe pain',absent,slight,slight,none,3,absent,'distended large intestine',1,1,cloudy,3,lived,1
yes,adult,1,1,4,cool,reduced,'normal pink',<3,'intermittent severe pain',absent,none,slight,none,3,normal,'distended large intestine',2,1,cloudy,2,lived,1
yes,adult,1,3,3,cool,normal,'pale pink',<3,depressed,hypomotile,moderate,slight,none,3,absent,'distended large intestine',1,2,cloudy,2,euthanized,-1
yes,adult,3,1,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,1
yes,adult,1,1,1,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
no,adult,1,3,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,<1l,1,absent,'distended large intestine',2,1,cloudy,3,died,1
no,adult,1,1,3,normal,normal,'normal pink',<3,depressed,hypomotile,none,slight,none,3,absent,'firm feces in large intestine',2,1,cloudy,3,lived,1
yes,adult,1,4,4,cool,normal,'pale cyanotic',>=3,'continuous severe pain',absent,none,slight,none,3,increased,'distended large intestine',2,1,cloudy,3,died,1
yes,young,1,4,4,cool,reduced,'pale pink',<3,'continuous severe pain',hypermotile,moderate,slight,>1l,3,increased,'distended large intestine',1,1,cloudy,3,died,1
yes,adult,1,2,4,cool,reduced,'pale pink',>=3,'continuous severe pain',hypomotile,moderate,significant,>1l,3,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,1,4,normal,normal,'normal pink',<3,'alert no pain',normal,severe,slight,>1l,3,absent,'distended large intestine',2,1,cloudy,3,lived,1
no,adult,1,1,4,normal,increased,'pale pink',<3,'alert no pain',hypermotile,none,none,none,3,normal,normal,2,2,cloudy,3,lived,-1
no,adult,1,1,4,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,none,none,3,absent,'distended large intestine',2,1,clear,2,lived,-1
yes,adult,1,1,1,cool,normal,'normal pink',<3,depressed,normal,none,none,none,3,absent,'distended large intestine',1,1,cloudy,3,lived,-1
yes,adult,1,4,4,cold,reduced,'dark cyanotic',>=3,'continuous severe pain',absent,severe,slight,none,3,absent,'distended large intestine',2,1,serosanguinous,4,died,1
yes,adult,1,1,3,normal,normal,'normal pink',>=3,'alert no pain',normal,none,slight,none,3,normal,normal,2,1,cloudy,6,lived,-1
yes,adult,1,3,4,cool,reduced,'dark cyanotic',<3,depressed,absent,severe,significant,>1l,1,absent,'distended large intestine',2,2,cloudy,3,euthanized,-1
no,adult,1,2,4,cool,reduced,'bright pink',<3,depressed,hypomotile,moderate,slight,none,3,decreased,'distended large intestine',2,2,cloudy,3,lived,1
no,adult,1,1,1,warm,normal,'pale pink',<3,'intermittent mild pain',absent,moderate,none,>1l,4,normal,'distended small intestine',1,1,cloudy,3,died,1
yes,adult,3,4,4,cool,reduced,'dark cyanotic',>=3,depressed,absent,slight,slight,<1l,4,absent,'distended small intestine',2,1,cloudy,4,lived,1
no,adult,3,1,3,cool,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,3,normal,'distended large intestine',1,2,cloudy,3,lived,-1
no,adult,3,1,2,cool,normal,'normal pink',<3,depressed,hypomotile,slight,slight,none,3,absent,other,1,2,cloudy,3,lived,-1
yes,adult,3,2,4,cold,reduced,'dark cyanotic',>=3,'intermittent severe pain',absent,slight,none,<1l,2,absent,'distended small intestine',2,1,serosanguinous,4,died,1
yes,adult,1,4,4,cool,reduced,'pale cyanotic',>=3,'intermittent mild pain',absent,severe,slight,none,1,absent,'distended large intestine',2,2,serosanguinous,2,lived,1
no,adult,3,1,3,cool,normal,'normal pink',<3,'alert no pain',hypomotile,slight,slight,none,3,decreased,other,2,1,clear,3,lived,-1
no,adult,3,1,4,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,severe,slight,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,1
no,adult,1,1,3,cool,reduced,'pale cyanotic',<3,'alert no pain',absent,slight,slight,none,3,absent,other,2,1,clear,3,lived,-1
no,adult,3,1,3,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,3,normal,'firm feces in large intestine',1,1,clear,4,lived,-1
no,adult,1,1,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,-1
yes,adult,1,2,4,cool,normal,'normal pink',<3,'intermittent severe pain',hypomotile,none,none,none,3,absent,'distended large intestine',1,2,cloudy,2,lived,1
yes,adult,3,1,3,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
no,adult,3,1,1,cool,normal,'normal pink',>=3,'intermittent mild pain',hypomotile,slight,slight,none,3,decreased,'distended large intestine',1,2,clear,3,lived,-1
yes,adult,3,2,4,normal,normal,'bright red',>=3,'intermittent mild pain',hypomotile,slight,slight,>1l,3,absent,'distended small intestine',2,1,cloudy,3,lived,1
yes,adult,3,4,4,cool,normal,'bright red',<3,'intermittent mild pain',hypomotile,moderate,none,none,3,absent,'distended large intestine',2,2,clear,2,euthanized,-1
no,adult,1,1,3,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,normal,2,1,cloudy,3,lived,-1
yes,adult,3,4,4,normal,normal,'pale pink',<3,depressed,absent,slight,slight,<1l,4,absent,'distended small intestine',2,1,cloudy,3,lived,1
yes,adult,1,2,3,cool,normal,'normal pink',>=3,'continuous severe pain',hypomotile,severe,significant,none,3,absent,'distended large intestine',2,1,cloudy,3,euthanized,1
no,adult,1,1,3,normal,normal,'pale pink',<3,'intermittent mild pain',hypermotile,none,slight,none,3,normal,'distended large intestine',1,1,cloudy,3,lived,-1
no,adult,3,3,2,cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,moderate,slight,>1l,3,absent,'distended large intestine',2,1,serosanguinous,5,died,1
yes,adult,3,4,4,cool,reduced,'pale pink',<3,depressed,absent,moderate,none,<1l,1,absent,'distended large intestine',2,2,serosanguinous,2,lived,1
yes,adult,1,4,4,cool,reduced,'bright red',>=3,depressed,absent,moderate,slight,<1l,3,absent,'distended small intestine',2,1,cloudy,3,died,1
yes,adult,1,2,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,lived,1
yes,adult,2,1,4,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,decreased,other,2,2,cloudy,3,lived,1
yes,adult,1,2,2,cool,normal,'pale cyanotic',<3,'intermittent severe pain',hypomotile,none,slight,none,2,absent,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,1,4,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,3,absent,'distended large intestine',2,2,serosanguinous,2,lived,1
no,adult,3,4,4,cool,reduced,'bright red',>=3,'intermittent severe pain',hypomotile,severe,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,euthanized,-1
yes,adult,3,3,4,cool,normal,'bright red',>=3,'intermittent severe pain',hypomotile,moderate,slight,<1l,4,absent,'distended small intestine',2,1,serosanguinous,3,died,1
no,adult,1,1,2,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,<1l,3,normal,'distended large intestine',1,1,cloudy,3,lived,-1
no,adult,1,1,2,normal,normal,'bright pink',<3,depressed,hypermotile,none,slight,none,3,normal,'distended large intestine',2,2,clear,2,lived,-1
no,adult,2,2,4,warm,increased,'bright pink',<3,'alert no pain',hypermotile,none,significant,none,3,normal,normal,2,2,cloudy,3,lived,-1
