17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00207727272727271, 0.00395454545454543, 0.00583181818181816, 0.00770909090909089, 0.00958636363636362, 0.0114636363636363, 0.0133409090909091, 0.0152181818181818, 0.0170954545454545, 0.0189727272727273, 0.02085, 0.0227272727272727, 0.0246045454545454, 0.0264818181818182, 0.0283590909090909, 0.0302363636363636, 0.0321136363636363, 0.0339909090909091, 0.0358681818181818, 0.0377454545454545, 0.0396227272727273, 0.0415, 0.0433772727272727, 0.0452545454545454, 0.0471318181818182, 0.0490090909090909, 0.0508863636363636, 0.0527636363636363, 0.0546409090909091, 0.0565181818181818, 0.0583954545454545, 0.0602727272727273, 0.06215, 0.0640272727272727, 0.0659045454545454, 0.0677818181818182, 0.0696590909090909, 0.0715363636363636, 0.0734136363636363, 0.0752909090909091, 0.0771681818181818, 0.0790454545454545, 0.0809227272727273, 0.0828, 0.0846772727272727, 0.0865545454545454, 0.0884318181818182, 0.0903090909090909, 0.0921863636363636, 0.0940636363636363, 0.0959409090909091, 0.0978181818181818, 0.0996954545454545, 0.101572727272727, 0.10345, 0.105327272727273, 0.107204545454545, 0.109081818181818, 0.110959090909091, 0.112836363636364, 0.114713636363636, 0.116590909090909, 0.118468181818182, 0.120345454545455, 0.122222727272727, 0.1241, 0.125977272727273, 0.127854545454545, 0.129731818181818, 0.131609090909091, 0.133486363636364, 0.135363636363636, 0.137240909090909, 0.139118181818182, 0.140995454545455, 0.142872727272727, 0.14475, 0.146627272727273, 0.148504545454545, 0.150381818181818, 0.152259090909091, 0.154136363636364, 0.156013636363636, 0.157890909090909, 0.159768181818182, 0.161645454545455, 0.163522727272727, 0.1654, 0.167277272727273, 0.169154545454545, 0.171031818181818, 0.172909090909091, 0.174786363636364, 0.176663636363636, 0.178540909090909, 0.180418181818182, 0.182295454545455, 0.184172727272727, 0.18605
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 7
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00206464646464644, 0.00392929292929291, 0.00579393939393937, 0.00765858585858584, 0.0095232323232323, 0.0113878787878788, 0.0132525252525252, 0.0151171717171717, 0.0169818181818182, 0.0188464646464646, 0.0207111111111111, 0.0225757575757576, 0.024440404040404, 0.0263050505050505, 0.0281696969696969, 0.0300343434343434, 0.0318989898989899, 0.0337636363636363, 0.0356282828282828, 0.0374929292929293, 0.0393575757575757, 0.0412222222222222, 0.0430868686868687, 0.0449515151515151, 0.0468161616161616, 0.0486808080808081, 0.0505454545454545, 0.052410101010101, 0.0542747474747475, 0.0561393939393939, 0.0580040404040404, 0.0598686868686868, 0.0617333333333333, 0.0635979797979798, 0.0654626262626263, 0.0673272727272727, 0.0691919191919192, 0.0710565656565656, 0.0729212121212121, 0.0747858585858586, 0.076650505050505, 0.0785151515151515, 0.080379797979798, 0.0822444444444444, 0.0841090909090909, 0.0859737373737374, 0.0878383838383838, 0.0897030303030303, 0.0915676767676767, 0.0934323232323232, 0.0952969696969697, 0.0971616161616161, 0.0990262626262626, 0.100890909090909, 0.102755555555556, 0.104620202020202, 0.106484848484848, 0.108349494949495, 0.110214141414141, 0.112078787878788, 0.113943434343434, 0.115808080808081, 0.117672727272727, 0.119537373737374, 0.12140202020202, 0.123266666666667, 0.125131313131313, 0.12699595959596, 0.128860606060606, 0.130725252525253, 0.132589898989899, 0.134454545454545, 0.136319191919192, 0.138183838383838, 0.140048484848485, 0.141913131313131, 0.143777777777778, 0.145642424242424, 0.147507070707071, 0.149371717171717, 0.151236363636364, 0.15310101010101, 0.154965656565657, 0.156830303030303, 0.158694949494949, 0.160559595959596, 0.162424242424242, 0.164288888888889, 0.166153535353535, 0.168018181818182, 0.169882828282828, 0.171747474747475, 0.173612121212121, 0.175476767676768, 0.177341414141414, 0.179206060606061, 0.181070707070707, 0.182935353535354, 0.1848
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 8
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00248838383838382, 0.00477676767676766, 0.00706515151515149, 0.00935353535353533, 0.0116419191919192, 0.013930303030303, 0.0162186868686868, 0.0185070707070707, 0.0207954545454545, 0.0230838383838384, 0.0253722222222222, 0.027660606060606, 0.0299489898989899, 0.0322373737373737, 0.0345257575757576, 0.0368141414141414, 0.0391025252525252, 0.0413909090909091, 0.0436792929292929, 0.0459676767676768, 0.0482560606060606, 0.0505444444444444, 0.0528328282828283, 0.0551212121212121, 0.0574095959595959, 0.0596979797979798, 0.0619863636363636, 0.0642747474747475, 0.0665631313131313, 0.0688515151515151, 0.071139898989899, 0.0734282828282828, 0.0757166666666667, 0.0780050505050505, 0.0802934343434343, 0.0825818181818182, 0.084870202020202, 0.0871585858585859, 0.0894469696969697, 0.0917353535353535, 0.0940237373737374, 0.0963121212121212, 0.098600505050505, 0.100888888888889, 0.103177272727273, 0.105465656565657, 0.10775404040404, 0.110042424242424, 0.112330808080808, 0.114619191919192, 0.116907575757576, 0.11919595959596, 0.121484343434343, 0.123772727272727, 0.126061111111111, 0.128349494949495, 0.130637878787879, 0.132926262626263, 0.135214646464646, 0.13750303030303, 0.139791414141414, 0.142079797979798, 0.144368181818182, 0.146656565656566, 0.148944949494949, 0.151233333333333, 0.153521717171717, 0.155810101010101, 0.158098484848485, 0.160386868686869, 0.162675252525253, 0.164963636363636, 0.16725202020202, 0.169540404040404, 0.171828787878788, 0.174117171717172, 0.176405555555556, 0.178693939393939, 0.180982323232323, 0.183270707070707, 0.185559090909091, 0.187847474747475, 0.190135858585859, 0.192424242424242, 0.194712626262626, 0.19700101010101, 0.199289393939394, 0.201577777777778, 0.203866161616162, 0.206154545454545, 0.208442929292929, 0.210731313131313, 0.213019696969697, 0.215308080808081, 0.217596464646465, 0.219884848484848, 0.222173232323232, 0.224461616161616, 0.22675
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 9
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00360858585858584, 0.0070171717171717, 0.0104257575757576, 0.0138343434343434, 0.0172429292929293, 0.0206515151515151, 0.024060101010101, 0.0274686868686868, 0.0308772727272727, 0.0342858585858586, 0.0376944444444444, 0.0411030303030303, 0.0445116161616161, 0.047920202020202, 0.0513287878787879, 0.0547373737373737, 0.0581459595959596, 0.0615545454545454, 0.0649631313131313, 0.0683717171717172, 0.071780303030303, 0.0751888888888889, 0.0785974747474747, 0.0820060606060606, 0.0854146464646464, 0.0888232323232323, 0.0922318181818182, 0.095640404040404, 0.0990489898989899, 0.102457575757576, 0.105866161616162, 0.109274747474747, 0.112683333333333, 0.116091919191919, 0.119500505050505, 0.122909090909091, 0.126317676767677, 0.129726262626263, 0.133134848484848, 0.136543434343434, 0.13995202020202, 0.143360606060606, 0.146769191919192, 0.150177777777778, 0.153586363636364, 0.156994949494949, 0.160403535353535, 0.163812121212121, 0.167220707070707, 0.170629292929293, 0.174037878787879, 0.177446464646465, 0.18085505050505, 0.184263636363636, 0.187672222222222, 0.191080808080808, 0.194489393939394, 0.19789797979798, 0.201306565656566, 0.204715151515151, 0.208123737373737, 0.211532323232323, 0.214940909090909, 0.218349494949495, 0.221758080808081, 0.225166666666667, 0.228575252525253, 0.231983838383838, 0.235392424242424, 0.23880101010101, 0.242209595959596, 0.245618181818182, 0.249026767676768, 0.252435353535354, 0.255843939393939, 0.259252525252525, 0.262661111111111, 0.266069696969697, 0.269478282828283, 0.272886868686869, 0.276295454545455, 0.27970404040404, 0.283112626262626, 0.286521212121212, 0.289929797979798, 0.293338383838384, 0.29674696969697, 0.300155555555556, 0.303564141414141, 0.306972727272727, 0.310381313131313, 0.313789898989899, 0.317198484848485, 0.320607070707071, 0.324015656565657, 0.327424242424242, 0.330832828282828, 0.334241414141414, 0.33765
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 10
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00372979797979796, 0.00725959595959594, 0.0107893939393939, 0.0143191919191919, 0.0178489898989899, 0.0213787878787879, 0.0249085858585858, 0.0284383838383838, 0.0319681818181818, 0.0354979797979798, 0.0390277777777778, 0.0425575757575757, 0.0460873737373737, 0.0496171717171717, 0.0531469696969697, 0.0566767676767677, 0.0602065656565656, 0.0637363636363636, 0.0672661616161616, 0.0707959595959596, 0.0743257575757576, 0.0778555555555555, 0.0813853535353535, 0.0849151515151515, 0.0884449494949495, 0.0919747474747475, 0.0955045454545454, 0.0990343434343434, 0.102564141414141, 0.106093939393939, 0.109623737373737, 0.113153535353535, 0.116683333333333, 0.120213131313131, 0.123742929292929, 0.127272727272727, 0.130802525252525, 0.134332323232323, 0.137862121212121, 0.141391919191919, 0.144921717171717, 0.148451515151515, 0.151981313131313, 0.155511111111111, 0.159040909090909, 0.162570707070707, 0.166100505050505, 0.169630303030303, 0.173160101010101, 0.176689898989899, 0.180219696969697, 0.183749494949495, 0.187279292929293, 0.190809090909091, 0.194338888888889, 0.197868686868687, 0.201398484848485, 0.204928282828283, 0.208458080808081, 0.211987878787879, 0.215517676767677, 0.219047474747475, 0.222577272727273, 0.226107070707071, 0.229636868686869, 0.233166666666667, 0.236696464646465, 0.240226262626263, 0.243756060606061, 0.247285858585859, 0.250815656565657, 0.254345454545455, 0.257875252525253, 0.26140505050505, 0.264934848484848, 0.268464646464646, 0.271994444444444, 0.275524242424242, 0.27905404040404, 0.282583838383838, 0.286113636363636, 0.289643434343434, 0.293173232323232, 0.29670303030303, 0.300232828282828, 0.303762626262626, 0.307292424242424, 0.310822222222222, 0.31435202020202, 0.317881818181818, 0.321411616161616, 0.324941414141414, 0.328471212121212, 0.33200101010101, 0.335530808080808, 0.339060606060606, 0.342590404040404, 0.346120202020202, 0.34965
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 11
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00376010101010099, 0.007320202020202, 0.010880303030303, 0.014440404040404, 0.018000505050505, 0.021560606060606, 0.025120707070707, 0.0286808080808081, 0.0322409090909091, 0.0358010101010101, 0.0393611111111111, 0.0429212121212121, 0.0464813131313131, 0.0500414141414141, 0.0536015151515151, 0.0571616161616161, 0.0607217171717171, 0.0642818181818182, 0.0678419191919192, 0.0714020202020202, 0.0749621212121212, 0.0785222222222222, 0.0820823232323232, 0.0856424242424242, 0.0892025252525252, 0.0927626262626262, 0.0963227272727272, 0.0998828282828283, 0.103442929292929, 0.10700303030303, 0.110563131313131, 0.114123232323232, 0.117683333333333, 0.121243434343434, 0.124803535353535, 0.128363636363636, 0.131923737373737, 0.135483838383838, 0.139043939393939, 0.14260404040404, 0.146164141414141, 0.149724242424242, 0.153284343434343, 0.156844444444444, 0.160404545454545, 0.163964646464646, 0.167524747474747, 0.171084848484848, 0.174644949494949, 0.17820505050505, 0.181765151515151, 0.185325252525253, 0.188885353535353, 0.192445454545455, 0.196005555555556, 0.199565656565657, 0.203125757575758, 0.206685858585859, 0.21024595959596, 0.213806060606061, 0.217366161616162, 0.220926262626263, 0.224486363636364, 0.228046464646465, 0.231606565656566, 0.235166666666667, 0.238726767676768, 0.242286868686869, 0.24584696969697, 0.249407070707071, 0.252967171717172, 0.256527272727273, 0.260087373737374, 0.263647474747475, 0.267207575757576, 0.270767676767677, 0.274327777777778, 0.277887878787879, 0.28144797979798, 0.285008080808081, 0.288568181818182, 0.292128282828283, 0.295688383838384, 0.299248484848485, 0.302808585858586, 0.306368686868687, 0.309928787878788, 0.313488888888889, 0.31704898989899, 0.320609090909091, 0.324169191919192, 0.327729292929293, 0.331289393939394, 0.334849494949495, 0.338409595959596, 0.341969696969697, 0.345529797979798, 0.349089898989899, 0.35265
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 12
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00364444444444442, 0.00708888888888887, 0.0105333333333333, 0.0139777777777778, 0.0174222222222222, 0.0208666666666666, 0.0243111111111111, 0.0277555555555555, 0.0312, 0.0346444444444444, 0.0380888888888889, 0.0415333333333333, 0.0449777777777778, 0.0484222222222222, 0.0518666666666667, 0.0553111111111111, 0.0587555555555555, 0.0622, 0.0656444444444444, 0.0690888888888889, 0.0725333333333333, 0.0759777777777778, 0.0794222222222222, 0.0828666666666667, 0.0863111111111111, 0.0897555555555555, 0.0932, 0.0966444444444444, 0.100088888888889, 0.103533333333333, 0.106977777777778, 0.110422222222222, 0.113866666666667, 0.117311111111111, 0.120755555555556, 0.1242, 0.127644444444444, 0.131088888888889, 0.134533333333333, 0.137977777777778, 0.141422222222222, 0.144866666666667, 0.148311111111111, 0.151755555555556, 0.1552, 0.158644444444444, 0.162088888888889, 0.165533333333333, 0.168977777777778, 0.172422222222222, 0.175866666666667, 0.179311111111111, 0.182755555555556, 0.1862, 0.189644444444444, 0.193088888888889, 0.196533333333333, 0.199977777777778, 0.203422222222222, 0.206866666666667, 0.210311111111111, 0.213755555555556, 0.2172, 0.220644444444444, 0.224088888888889, 0.227533333333333, 0.230977777777778, 0.234422222222222, 0.237866666666667, 0.241311111111111, 0.244755555555556, 0.2482, 0.251644444444444, 0.255088888888889, 0.258533333333333, 0.261977777777778, 0.265422222222222, 0.268866666666667, 0.272311111111111, 0.275755555555556, 0.2792, 0.282644444444444, 0.286088888888889, 0.289533333333333, 0.292977777777778, 0.296422222222222, 0.299866666666667, 0.303311111111111, 0.306755555555556, 0.3102, 0.313644444444444, 0.317088888888889, 0.320533333333333, 0.323977777777778, 0.327422222222222, 0.330866666666667, 0.334311111111111, 0.337755555555556, 0.3412
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 13
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000200000000000006, 0.00367222222222223, 0.00714444444444445, 0.0106166666666667, 0.0140888888888889, 0.0175611111111111, 0.0210333333333333, 0.0245055555555556, 0.0279777777777778, 0.03145, 0.0349222222222222, 0.0383944444444444, 0.0418666666666667, 0.0453388888888889, 0.0488111111111111, 0.0522833333333333, 0.0557555555555556, 0.0592277777777778, 0.0627, 0.0661722222222222, 0.0696444444444445, 0.0731166666666667, 0.0765888888888889, 0.0800611111111111, 0.0835333333333333, 0.0870055555555556, 0.0904777777777778, 0.09395, 0.0974222222222222, 0.100894444444444, 0.104366666666667, 0.107838888888889, 0.111311111111111, 0.114783333333333, 0.118255555555556, 0.121727777777778, 0.1252, 0.128672222222222, 0.132144444444444, 0.135616666666667, 0.139088888888889, 0.142561111111111, 0.146033333333333, 0.149505555555556, 0.152977777777778, 0.15645, 0.159922222222222, 0.163394444444444, 0.166866666666667, 0.170338888888889, 0.173811111111111, 0.177283333333333, 0.180755555555556, 0.184227777777778, 0.1877, 0.191172222222222, 0.194644444444444, 0.198116666666667, 0.201588888888889, 0.205061111111111, 0.208533333333333, 0.212005555555556, 0.215477777777778, 0.21895, 0.222422222222222, 0.225894444444444, 0.229366666666667, 0.232838888888889, 0.236311111111111, 0.239783333333333, 0.243255555555556, 0.246727777777778, 0.2502, 0.253672222222222, 0.257144444444444, 0.260616666666667, 0.264088888888889, 0.267561111111111, 0.271033333333333, 0.274505555555556, 0.277977777777778, 0.28145, 0.284922222222222, 0.288394444444444, 0.291866666666667, 0.295338888888889, 0.298811111111111, 0.302283333333333, 0.305755555555556, 0.309227777777778, 0.3127, 0.316172222222222, 0.319644444444444, 0.323116666666667, 0.326588888888889, 0.330061111111111, 0.333533333333333, 0.337005555555556, 0.340477777777778, 0.34395
