@relation BloodTransfusion-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute Recency numeric
@attribute Frequency numeric
@attribute Monetary numeric
@attribute Time numeric
@attribute Class {1,0}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
2,7,1750,29,0,no,no
2,8,2000,35,1,no,no
2,10,2500,49,0,no,no
4,5,1250,16,1,no,no
2,3,750,9,1,no,no
3,16,4000,74,0,no,no
2,4,1000,14,1,no,no
0,2,500,4,0,no,no
4,7,1750,25,0,no,no
1,9,2250,51,0,no,no
2,4,1000,16,0,no,no
2,4,1000,16,0,no,no
4,17,4250,71,1,no,no
2,2,500,4,0,no,no
2,2,500,4,1,no,no
2,2,500,4,1,no,no
2,4,1000,16,1,no,no
2,2,500,4,0,no,no
2,2,500,4,0,no,no
2,2,500,4,0,no,no
4,6,1500,23,1,no,no
2,4,1000,16,0,no,no
2,4,1000,16,0,no,no
2,4,1000,16,0,no,no
2,6,1500,28,1,no,no
2,6,1500,28,0,no,no
4,2,500,4,0,no,no
4,2,500,4,0,no,no
4,2,500,4,0,no,no
2,7,1750,35,1,no,no
4,2,500,4,1,no,no
4,2,500,4,0,no,no
4,2,500,4,0,no,no
4,2,500,4,0,no,no
12,11,2750,23,0,no,no
4,7,1750,28,0,no,no
3,17,4250,86,0,no,no
4,9,2250,38,1,no,no
4,4,1000,14,1,no,no
5,7,1750,26,1,no,no
4,8,2000,34,1,no,no
2,13,3250,76,1,no,no
4,9,2250,40,0,no,no
2,5,1250,26,0,no,no
2,5,1250,26,0,no,no
6,17,4250,70,0,no,no
0,8,2000,59,0,no,no
3,5,1250,26,0,no,no
2,3,750,14,0,no,no
2,10,2500,64,0,no,no
4,5,1250,23,1,no,no
4,9,2250,46,0,no,no
4,5,1250,23,0,no,no
4,8,2000,40,1,no,no
2,12,3000,82,0,no,no
11,24,6000,64,0,yes,no
2,7,1750,46,1,no,no
4,11,2750,61,0,no,no
1,7,1750,57,0,no,no
2,11,2750,79,1,no,no
2,3,750,16,1,no,no
4,5,1250,26,1,no,no
2,6,1500,41,1,no,no
2,5,1250,33,1,no,no
2,4,1000,26,0,no,no
2,5,1250,34,0,no,no
4,8,2000,46,1,no,no
2,4,1000,26,0,no,no
4,8,2000,48,1,no,no
2,2,500,10,1,no,no
4,5,1250,28,0,no,no
2,12,3000,95,0,no,no
2,2,500,10,0,no,no
4,6,1500,35,0,no,no
2,11,2750,88,0,no,no
2,3,750,19,0,no,no
2,5,1250,37,0,no,no
2,12,3000,98,0,no,no
9,5,1250,19,0,no,no
2,2,500,11,0,no,no
2,9,2250,74,0,no,no
5,14,3500,86,0,no,no
4,3,750,16,0,no,no
4,3,750,16,0,no,no
4,2,500,9,1,no,no
4,3,750,16,1,no,no
6,3,750,14,0,no,no
2,2,500,11,0,no,no
2,2,500,11,1,no,no
2,2,500,11,0,no,no
2,7,1750,58,1,no,no
4,6,1500,39,0,no,no
4,11,2750,78,0,no,no
2,1,250,2,1,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,1,no,no
2,1,250,2,1,no,no
2,1,250,2,1,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
11,10,2500,35,0,no,no
11,4,1000,16,1,no,no
4,5,1250,33,1,no,no
4,6,1500,41,1,no,no
2,3,750,22,0,no,no
4,4,1000,26,1,no,no
10,4,1000,16,0,no,no
2,4,1000,35,0,no,no
4,12,3000,88,0,no,no
13,8,2000,26,0,no,no
11,9,2250,33,0,no,no
4,5,1250,34,0,no,no
4,4,1000,26,0,no,no
8,15,3750,77,0,no,no
4,5,1250,35,1,no,no
4,7,1750,52,0,no,no
4,7,1750,52,0,no,no
2,4,1000,35,0,no,no
11,11,2750,42,0,no,no
2,2,500,14,0,no,no
2,5,1250,47,1,no,no
9,8,2000,38,1,no,no
4,6,1500,47,0,no,no
11,7,1750,29,0,no,no
9,9,2250,45,0,no,no
4,6,1500,52,0,no,no
4,7,1750,58,0,no,no
6,2,500,11,1,no,no
4,7,1750,58,0,no,no
11,9,2250,38,0,no,no
11,6,1500,26,0,no,no
2,2,500,16,0,no,no
2,7,1750,76,0,no,no
11,6,1500,27,0,no,no
11,3,750,14,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,1,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,1,no,no
4,1,250,4,1,no,no
4,1,250,4,0,no,no
4,1,250,4,1,no,no
4,1,250,4,1,no,no
4,1,250,4,0,no,no
4,3,750,24,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,1,no,no
4,1,250,4,0,no,no
10,8,2000,39,0,no,no
14,7,1750,26,0,no,no
8,10,2500,63,0,no,no
11,3,750,15,0,no,no
4,2,500,14,0,no,no
2,4,1000,43,0,no,no
8,9,2250,58,0,no,no
8,8,2000,52,1,no,no
11,22,5500,98,0,no,no
4,3,750,25,1,no,no
11,17,4250,79,1,no,no
9,2,500,11,0,no,no
4,5,1250,46,0,no,no
11,12,3000,58,0,no,no
7,12,3000,86,0,no,no
11,2,500,11,0,no,no
11,2,500,11,0,no,no
11,2,500,11,0,no,no
2,6,1500,75,0,no,no
11,8,2000,41,1,no,no
11,3,750,16,1,no,no
12,13,3250,59,0,no,no
2,3,750,35,0,no,no
16,8,2000,28,0,no,no
11,7,1750,37,0,no,no
4,3,750,28,0,no,no
12,12,3000,58,0,no,no
4,4,1000,41,0,no,no
11,14,3500,73,1,no,no
2,2,500,23,0,no,no
2,3,750,38,1,no,no
4,5,1250,58,0,no,no
4,4,1000,43,1,no,no
3,2,500,23,0,no,no
11,8,2000,46,0,no,no
4,7,1750,82,0,no,no
13,4,1000,21,0,no,no
16,11,2750,40,0,no,no
16,7,1750,28,0,no,no
7,2,500,16,0,no,no
4,5,1250,58,0,no,no
4,5,1250,58,0,no,no
4,4,1000,46,0,no,no
14,13,3250,57,0,no,no
4,3,750,34,0,no,no
14,18,4500,78,0,no,no
11,8,2000,48,0,no,no
14,16,4000,70,0,no,no
14,4,1000,22,1,no,no
14,5,1250,26,0,no,no
8,2,500,16,0,no,no
11,5,1250,33,0,no,no
11,2,500,14,0,no,no
4,2,500,23,0,no,no
9,2,500,16,1,no,no
14,5,1250,28,1,no,no
14,3,750,19,1,no,no
14,4,1000,23,1,no,no
16,12,3000,50,0,no,no
11,4,1000,28,0,no,no
11,5,1250,35,0,no,no
11,5,1250,35,0,no,no
2,4,1000,70,0,no,no
14,5,1250,28,0,no,no
14,2,500,14,0,no,no
14,2,500,14,0,no,no
14,2,500,14,0,no,no
14,2,500,14,0,no,no
14,2,500,14,0,no,no
14,2,500,14,0,no,no
2,3,750,52,0,no,no
14,6,1500,34,0,no,no
11,5,1250,37,1,no,no
4,5,1250,74,0,no,no
11,3,750,23,0,no,no
16,4,1000,23,0,no,no
16,3,750,19,0,no,no
11,5,1250,38,0,no,no
11,2,500,16,0,no,no
12,9,2250,60,0,no,no
9,1,250,9,0,no,no
9,1,250,9,0,no,no
4,2,500,29,0,no,no
11,2,500,17,0,no,no
14,4,1000,26,0,no,no
11,9,2250,72,1,no,no
11,5,1250,41,0,no,no
15,16,4000,82,0,no,no
9,5,1250,51,1,no,no
11,4,1000,34,0,no,no
14,8,2000,50,1,no,no
16,7,1750,38,0,no,no
14,2,500,16,0,no,no
2,2,500,41,0,no,no
14,16,4000,98,0,no,no
14,4,1000,28,1,no,no
16,7,1750,39,0,no,no
14,7,1750,47,0,no,no
16,6,1500,35,0,no,no
16,6,1500,35,1,no,no
11,7,1750,62,1,no,no
16,2,500,16,0,no,no
16,3,750,21,1,no,no
11,3,750,28,0,no,no
11,7,1750,64,0,no,no
11,1,250,11,1,no,no
9,3,750,34,0,no,no
14,4,1000,30,0,no,no
23,38,9500,98,0,no,yes
11,6,1500,58,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,2,500,21,0,no,no
11,5,1250,50,0,no,no
11,2,500,21,0,no,no
16,4,1000,28,0,no,no
4,2,500,41,0,no,no
16,6,1500,40,0,no,no
14,3,750,26,0,no,no
9,2,500,26,0,no,no
21,16,4000,64,0,no,no
14,6,1500,51,0,no,no
11,2,500,24,0,no,no
4,3,750,71,0,no,no
21,13,3250,57,0,no,no
11,6,1500,71,0,no,no
14,2,500,21,1,no,no
23,15,3750,57,0,no,no
14,4,1000,38,0,no,no
11,2,500,26,0,no,no
16,5,1250,40,1,no,no
4,2,500,51,1,no,no
14,3,750,31,0,no,no
4,2,500,52,0,no,no
9,4,1000,65,0,no,no
14,4,1000,40,0,no,no
11,3,750,40,1,no,no
14,5,1250,50,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,7,1750,72,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
9,3,750,52,0,no,no
14,7,1750,73,0,no,no
11,4,1000,58,0,no,no
11,4,1000,59,0,no,no
4,2,500,59,0,no,no
11,4,1000,61,0,no,no
16,4,1000,40,0,no,no
16,10,2500,89,0,no,no
21,2,500,21,1,no,no
21,3,750,26,0,no,no
16,8,2000,76,0,no,no
21,3,750,26,1,no,no
18,2,500,23,0,no,no
23,5,1250,33,0,no,no
23,8,2000,46,0,no,no
16,3,750,34,0,no,no
14,5,1250,64,0,no,no
14,3,750,41,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,4,1000,45,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,2,500,26,0,no,no
21,2,500,23,0,no,no
16,2,500,27,0,no,no
21,2,500,23,0,no,no
21,2,500,23,0,no,no
14,4,1000,57,0,no,no
16,5,1250,60,0,no,no
23,2,500,23,0,no,no
14,5,1250,74,0,no,no
23,3,750,28,0,no,no
16,3,750,40,0,no,no
9,2,500,52,0,no,no
9,2,500,52,0,no,no
16,7,1750,87,1,no,no
14,4,1000,64,0,no,no
14,2,500,35,0,no,no
16,7,1750,93,0,no,no
21,2,500,25,0,no,no
14,3,750,52,0,no,no
23,14,3500,93,0,no,no
18,8,2000,95,0,no,no
16,3,750,46,0,no,no
11,3,750,76,0,no,no
11,2,500,52,0,no,no
11,3,750,76,0,no,no
23,12,3000,86,0,no,no
21,3,750,35,0,no,no
23,2,500,26,0,no,no
23,2,500,26,0,no,no
23,8,2000,64,0,no,no
16,3,750,50,0,no,no
23,3,750,33,0,no,no
21,3,750,38,0,no,no
23,2,500,28,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,1,250,21,1,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
21,5,1250,60,0,no,no
23,4,1000,45,0,no,no
21,4,1000,52,0,no,no
22,1,250,22,1,no,no
11,2,500,70,0,no,no
23,5,1250,58,0,no,no
23,3,750,40,0,no,no
23,3,750,41,0,no,no
14,3,750,83,0,no,no
21,2,500,35,0,no,no
26,5,1250,49,1,no,no
23,6,1500,70,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,4,1000,53,0,no,no
21,6,1500,86,0,no,no
23,3,750,48,0,no,no
21,2,500,41,0,no,no
21,3,750,64,0,no,no
16,2,500,70,0,no,no
21,3,750,70,0,no,no
23,4,1000,87,0,no,no
23,3,750,89,0,no,no
23,2,500,87,0,no,no
35,3,750,64,0,no,no
38,1,250,38,0,no,no
38,1,250,38,0,no,no
40,1,250,40,0,no,no
74,1,250,74,0,yes,no
2,43,10750,86,1,no,yes
6,22,5500,28,1,no,no
2,34,8500,77,1,yes,no
2,44,11000,98,0,no,yes
0,26,6500,76,1,yes,no
2,41,10250,98,1,no,yes
3,21,5250,42,1,no,no
2,11,2750,23,0,no,no
2,21,5250,52,1,no,no
2,13,3250,32,1,no,no
4,4,1000,4,1,no,no
2,11,2750,26,0,no,no
2,11,2750,28,0,no,no
3,14,3500,35,0,no,no
4,16,4000,38,1,no,no
4,6,1500,14,0,no,no
3,5,1250,12,1,no,no
4,33,8250,98,1,yes,no
3,10,2500,33,1,no,no
4,10,2500,28,1,no,no
2,11,2750,40,1,no,no
2,11,2750,41,1,no,no
4,13,3250,39,1,no,no
1,10,2500,43,1,no,no
4,9,2250,28,0,no,no
2,4,1000,11,0,no,no
2,5,1250,16,1,no,no
2,15,3750,64,0,no,no
5,24,6000,79,0,yes,no
2,6,1500,22,1,no,no
4,5,1250,16,1,no,no
2,4,1000,14,1,no,no
4,8,2000,28,0,no,no
2,4,1000,14,0,no,no
2,6,1500,26,0,no,no
4,5,1250,16,1,no,no
2,7,1750,32,1,no,no
2,6,1500,26,1,no,no
2,8,2000,38,1,no,no
2,2,500,4,1,no,no
2,6,1500,28,1,no,no
2,10,2500,52,0,no,no
4,16,4000,70,1,no,no
4,2,500,4,1,no,no
1,14,3500,95,0,no,no
4,2,500,4,1,no,no
7,14,3500,48,0,no,no
2,3,750,11,0,no,no
2,12,3000,70,1,no,no
4,7,1750,32,1,no,no
4,4,1000,16,0,no,no
2,6,1500,35,1,no,no
4,6,1500,28,1,no,no
2,3,750,14,0,no,no
2,4,1000,23,0,no,no
4,4,1000,18,0,no,no
5,6,1500,28,0,no,no
4,6,1500,30,0,no,no
14,5,1250,14,0,no,no
3,8,2000,50,0,no,no
4,11,2750,64,1,no,no
4,9,2250,52,0,no,no
4,16,4000,98,1,no,no
7,10,2500,47,0,no,no
4,14,3500,86,0,no,no
2,9,2250,75,0,no,no
4,6,1500,35,0,no,no
4,9,2250,55,0,no,no
4,6,1500,35,1,no,no
2,6,1500,45,0,no,no
2,6,1500,47,0,no,no
4,2,500,9,0,no,no
2,2,500,11,1,no,no
2,2,500,11,0,no,no
2,2,500,11,1,no,no
4,6,1500,38,1,no,no
3,4,1000,29,1,no,no
9,9,2250,38,0,no,no
11,5,1250,18,0,no,no
2,3,750,21,0,no,no
2,1,250,2,0,no,no
2,1,250,2,1,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,1,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
2,1,250,2,0,no,no
11,11,2750,38,0,no,no
2,3,750,22,0,no,no
9,11,2750,49,1,no,no
5,11,2750,75,0,no,no
3,5,1250,38,0,no,no
3,1,250,3,1,no,no
4,6,1500,43,0,no,no
2,3,750,24,0,no,no
12,11,2750,39,0,no,no
2,2,500,14,0,no,no
4,6,1500,46,0,no,no
9,3,750,14,0,no,no
14,8,2000,26,0,no,no
4,2,500,13,0,no,no
4,11,2750,95,0,no,no
2,7,1750,77,0,no,no
2,7,1750,77,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,1,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,0,no,no
4,1,250,4,1,no,no
4,1,250,4,0,no,no
4,7,1750,62,0,no,no
4,1,250,4,0,no,no
4,4,1000,34,1,no,no
11,6,1500,28,0,no,no
13,3,750,14,1,no,no
7,5,1250,35,0,no,no
9,9,2250,54,0,no,no
11,2,500,11,0,no,no
2,5,1250,63,0,no,no
7,11,2750,89,0,no,no
8,9,2250,64,0,no,no
2,2,500,22,0,no,no
6,3,750,26,0,no,no
12,15,3750,71,0,no,no
13,3,750,16,0,no,no
11,16,4000,89,0,no,no
4,5,1250,58,0,no,no
14,7,1750,35,0,no,no
11,4,1000,27,0,no,no
7,9,2250,89,1,no,no
11,8,2000,52,1,no,no
7,5,1250,52,0,no,no
11,6,1500,41,0,no,no
10,5,1250,38,0,no,no
14,2,500,14,1,no,no
14,2,500,14,0,no,no
14,2,500,14,0,no,no
2,2,500,33,0,no,no
11,3,750,23,0,no,no
14,8,2000,46,0,no,no
9,1,250,9,0,no,no
16,5,1250,27,0,no,no
14,4,1000,26,0,no,no
4,2,500,30,0,no,no
14,3,750,21,0,no,no
16,16,4000,77,0,no,no
4,2,500,31,0,no,no
14,8,2000,50,0,no,no
11,3,750,26,0,no,no
14,7,1750,45,0,no,no
15,5,1250,33,0,no,no
16,2,500,16,0,no,no
16,3,750,21,0,no,no
11,8,2000,72,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,0,no,no
11,1,250,11,1,no,no
11,1,250,11,0,no,no
2,3,750,75,1,no,no
2,3,750,77,0,no,no
16,4,1000,28,0,no,no
16,15,3750,87,0,no,no
16,14,3500,83,0,no,no
16,10,2500,62,0,no,no
16,3,750,23,0,no,no
14,3,750,26,0,no,no
23,19,4750,62,0,no,no
11,7,1750,75,0,no,no
14,3,750,28,0,no,no
20,14,3500,69,1,no,no
4,2,500,46,0,no,no
11,2,500,25,0,no,no
11,3,750,37,0,no,no
16,4,1000,33,0,no,no
21,7,1750,38,0,no,no
13,7,1750,76,0,no,no
16,6,1500,50,0,no,no
14,3,750,33,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
14,1,250,14,0,no,no
17,7,1750,58,1,no,no
14,3,750,35,0,no,no
14,3,750,35,0,no,no
16,7,1750,64,0,no,no
21,2,500,21,0,no,no
16,3,750,35,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
16,1,250,16,0,no,no
14,2,500,29,0,no,no
11,4,1000,74,0,no,no
11,2,500,38,1,no,no
21,6,1500,48,0,no,no
23,2,500,23,0,no,no
23,6,1500,45,0,no,no
14,2,500,35,1,no,no
16,6,1500,81,0,no,no
16,4,1000,58,0,no,no
16,5,1250,71,0,no,no
21,2,500,26,0,no,no
21,3,750,35,0,no,no
21,3,750,35,0,no,no
23,8,2000,69,0,no,no
21,3,750,38,0,no,no
23,3,750,35,0,no,no
21,3,750,40,0,no,no
23,2,500,28,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
25,6,1500,50,0,no,no
21,1,250,21,0,no,no
21,1,250,21,0,no,no
23,3,750,39,0,no,no
21,2,500,33,0,no,no
14,3,750,79,0,no,no
23,1,250,23,1,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,1,250,23,0,no,no
23,4,1000,52,0,no,no
23,1,250,23,0,no,no
23,7,1750,88,0,no,no
16,3,750,86,0,no,no
23,2,500,38,0,no,no
21,2,500,52,0,no,no
23,3,750,62,0,no,no
39,1,250,39,0,no,no
72,1,250,72,0,yes,no
